,Feb2026,Mar2026,Apr2026,mean,std,cv
proxy_abs_rmean4,0.17857142857142858,0.07142857142857142,0.2142857142857143,0.15476190476190477,0.06070261325705697,0.3922322702763681
reg_rstd8,0.07142857142857142,0.14285714285714285,0.25,0.15476190476190477,0.07338588098772592,0.4741856925360751
is_weekend,0.17857142857142858,0.14285714285714285,0.14285714285714285,0.15476190476190474,0.01683587574253685,0.1087856586440843
proxy_zero_cross4,0.10714285714285715,0.17857142857142858,0.10714285714285715,0.13095238095238096,0.03367175148507369,0.25712973861328997
proxy_lag15,0.25,0.03571428571428571,0.07142857142857142,0.11904761904761903,0.09373818897633109,0.7874007874011812
proxy_range4,0.10714285714285715,0.10714285714285715,0.10714285714285715,0.10714285714285715,0.0,0.0
proxy_lag22,0.07142857142857142,0.10714285714285715,0.10714285714285715,0.09523809523809523,0.01683587574253685,0.17677669529663695
proxy_lag24,0.10714285714285715,0.07142857142857142,0.10714285714285715,0.09523809523809523,0.01683587574253685,0.17677669529663695
proxy_lag18,0.07142857142857142,0.03571428571428571,0.17857142857142858,0.09523809523809523,0.06070261325705697,0.6373774391990982
proxy_lag21,0.07142857142857142,0.07142857142857142,0.10714285714285715,0.08333333333333333,0.01683587574253685,0.20203050891044222
load_ramp4,0.10714285714285715,0.07142857142857142,0.03571428571428571,0.07142857142857144,0.029160592175990218,0.408248290463863
proxy_rstd4,0.10714285714285715,0.07142857142857142,0.03571428571428571,0.07142857142857144,0.029160592175990218,0.408248290463863
proxy_lag16,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.07142857142857141,0.050507627227610534,0.7071067811865477
proxy_lag20,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.07142857142857141,0.050507627227610534,0.7071067811865477
proxy_lag14,0.0,0.07142857142857142,0.10714285714285715,0.05952380952380953,0.044543540318737404,0.7483314773547883
proxy_pos_ratio_4,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.047619047619047616,0.016835875742536845,0.35355339059327373
load_rstd4,0.0,0.07142857142857142,0.07142857142857142,0.047619047619047616,0.03367175148507369,0.7071067811865475
proxy_lag11,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.047619047619047616,0.016835875742536845,0.35355339059327373
proxy_lag12,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0
proxy_lag_pos,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0
proxy_acceleration,0.0,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.029160592175990215,0.816496580927726
proxy_lag13,0.03571428571428571,0.03571428571428571,0.0,0.023809523809523808,0.016835875742536845,0.7071067811865475
reg_momentum,0.03571428571428571,0.0,0.03571428571428571,0.023809523809523808,0.016835875742536845,0.7071067811865475
proxy_lag19,0.0,0.0,0.03571428571428571,0.011904761904761904,0.016835875742536845,1.414213562373095
proxy_momentum,0.0,0.0,0.03571428571428571,0.011904761904761904,0.016835875742536845,1.414213562373095
proxy_lag23,0.0,0.0,0.0,0.0,0.0,0.0
da_price_qh_rank,0.0,0.0,0.0,0.0,0.0,0.0
