feature,pnl_drop_mean,pnl_drop_std,pnl_drop_pct,is_positive,rank,cumulative_pct
reg_vol_rmean4,-288.50421316947177,250.91697248211554,-1.1222798980827802,False,91,113.72005729803966
xborder_rmean4,-296.34498432237086,170.6705185740007,-1.152780457342194,False,92,112.56727684069747
dow_cos,-302.3102265763922,337.32289692446636,-1.1759852188787252,False,93,111.39129162181875
proxy_abs_rmean4,-318.68981900020515,244.15572940747774,-1.2397017487487278,False,94,110.15158987307002
load_rmean4,-326.2929853444675,290.3168973999886,-1.2692780265306154,False,95,108.88231184653941
proxy_lag10,-345.1278569933376,175.51358186796574,-1.3425455798958739,False,96,107.53976626664354
xborder_momentum,-370.72508714986,124.34686423026879,-1.4421186729043582,False,97,106.09764759373918
proxy_rmean4,-382.97684576410103,285.48363680056946,-1.4897779505900133,False,98,104.60786964314917
is_weekend,-386.2836035844004,164.58358729933713,-1.5026412214198572,False,99,103.10522842172932
proxy_yesterday_2,-395.3843259685127,429.6374082227281,-1.5380429844565784,False,100,101.56718543727274
proxy_lag24,-405.8043238422077,290.9577453616682,-1.5785767223290434,False,101,99.9886087149437
proxy_rstd4,-414.2498273666515,186.4053779910456,-1.6114296873881808,False,102,98.37717902755551
cloudcover,-417.42422498975793,260.2981072149635,-1.623778077735054,False,103,96.75340094982046
temp_forecast_da,-450.30686049448815,393.78238427121494,-1.7516913598931352,False,104,95.00170958992733
load_deviation,-506.27685088415785,357.51132824419653,-1.9694143332256413,False,105,93.03229525670169
temp_national_deviation,-575.1078014102161,422.1098107651894,-2.237166375016273,False,106,90.79512888168541
nowcast_recent_bias,-614.1724101764906,348.01805556641307,-2.3891275012099658,False,107,88.40600138047544
imb_price_lag,-647.0757166057625,104.0986534140348,-2.5171211931576756,False,108,85.88888018731777
temp_surprise_lag,-700.2979267704457,435.5792828464582,-2.724155315617005,False,109,83.16472487170076
idm_volume_lag,-738.6353109312571,294.3614433347961,-2.8732875418541384,False,110,80.29143732984662
temp_national_spread,-854.8739615907456,417.76772977986826,-3.325455292135071,False,111,76.96598203771154
spread_da_idm_lag,-1197.370517747117,343.94086538849166,-4.657765125375138,False,112,72.3082169123364
da_price,-1223.8491031364,388.98276227443273,-4.7607666856837385,False,113,67.54745022665267
