datetime,direction,pred,target,size,pnl,spread,limit_price,thresh_s,thresh_d,scale_s,scale_d,month,week
2026-02-27 19:45:00,surplus,3.5671000687831595,4.135,5.0,55.360625,0.6299999999999955,105.05,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 21:15:00,surplus,3.334383448164682,-2.721,5.0,-16.045937499999994,0.8700000000000045,84.7,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 21:30:00,surplus,4.800833960341168,-4.307,5.0,-17.058437499999997,0.480000000000004,83.89,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 21:45:00,surplus,5.1451007232792705,-0.331,5.0,-18.845937500000005,0.769999999999996,82.46,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 22:15:00,surplus,4.05658073450589,-0.016,5.0,-13.9175,0.7400000000000091,86.4,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 22:30:00,surplus,4.3596689443203145,6.906,5.0,-16.755000000000013,0.3199999999999932,84.13,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-27 22:45:00,surplus,3.3223398794010737,12.164,4.98350981910161,-17.60923194579554,0.3300000000000125,83.4,3.0,4.0,1.5,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 08:45:00,surplus,5.697717011269216,7.617,5.0,-45.262375,1.299999999999999,10.6,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 09:15:00,surplus,8.673943945172208,6.783,5.0,10.144312499999998,0.71,5.51,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 09:45:00,surplus,12.829037786776897,9.76,5.0,-12.280687499999999,4.600000000000001,-12.43,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 10:00:00,surplus,15.63871629180764,4.321,5.0,14.0121875,0.7400000000000002,-1.46,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 10:15:00,surplus,19.71278069545112,10.033,5.0,4.0121875,0.33999999999999986,-9.46,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
2026-02-28 10:30:00,surplus,20.463256080665218,5.047,5.0,-0.5378124999999989,3.630000000000001,-13.1,3.0,4.0,1.3,0.8,2026-02,2026-02-23/2026-03-01
