target,feature,pearson_r,pearson_p,spearman_r,spearman_p,n_obs,abs_spearman
DA-Imbalance,prev2_load_forecast_mean,0.1624350822286908,0.001876722712791511,0.23533572135702344,5.668955596030549e-06,364,0.23533572135702344
DA-Imbalance,prev2_hydro_mean,-0.09468179327801199,0.0711912624787642,-0.23176356190847527,7.912686469972563e-06,364,0.23176356190847527
DA-Imbalance,prev_nuclear_mean,0.15725682677985822,0.002623759144585644,0.2265774499306679,1.2721026920325844e-05,364,0.2265774499306679
DA-Imbalance,prev_load_forecast_mean,0.14073895411344442,0.0071604089170464935,0.22644311679701126,1.2876556387694706e-05,364,0.22644311679701126
DA-Imbalance,prev_da_demand_mean,0.15681299706053164,0.002698975228376736,0.22473916026309726,1.5012954417451158e-05,364,0.22473916026309726
DA-Imbalance,prev2_load_actual_mean,0.14245009330331404,0.006482475578617481,0.22286635478254807,1.7747915232406235e-05,364,0.22286635478254807
DA-Imbalance,prev_da_supply_mean,0.15176612500238795,0.0037033408843496645,0.2223577170027979,1.856864582784213e-05,364,0.2223577170027979
DA-Imbalance,prev2_nuclear_mean,0.14791103164577113,0.004686520017130267,0.21618895727976453,3.186229044136711e-05,364,0.21618895727976453
DA-Imbalance,load_actual_mean,0.1410111965791857,0.00704847869727669,0.2144381681676219,3.703573745603873e-05,364,0.2144381681676219
DA-Imbalance,prev2_da_price_mean,0.12772650232907395,0.014749168445436488,0.21087803852436476,5.0101996266744415e-05,364,0.21087803852436476
DA-Imbalance,prev2_gas_mean,0.18316889492302385,0.0004441104493484543,0.21008456052042598,5.3555717286136504e-05,364,0.21008456052042598
DA-Imbalance,hydro_mean,-0.04664407498729412,0.37489887465572114,-0.20424275705434852,8.681984400284618e-05,364,0.20424275705434852
DA-Imbalance,prev_hydro_mean,-0.05209411459063653,0.32161380896864655,-0.20417333704237545,8.731264533282976e-05,364,0.20417333704237545
DA-Imbalance,prev2_da_demand_mean,0.14063871744781886,0.007202018904742584,0.20348407529482235,9.235047285101955e-05,364,0.20348407529482235
DA-Imbalance,prev_load_actual_mean,0.12290568360349703,0.01899008005375552,0.19994294620521968,0.00012283596124454892,364,0.19994294620521968
DA-Imbalance,prev2_flow_hu_mean,-0.1321797365347975,0.011594886365588355,-0.19514483026313661,0.00017939029157367048,364,0.19514483026313661
DA-Imbalance,prev2_solar_actual_mean,-0.14942028087453554,0.004276556530119175,-0.1947514624075469,0.00018497411425505365,364,0.1947514624075469
DA-Imbalance,prev_gas_mean,0.13995244745747137,0.007492753578258278,0.18979426551033027,0.00027079750122922076,364,0.18979426551033027
DA-Imbalance,prev2_flow_pl_mean,0.12702679538073453,0.015307873111850789,0.18954694122813673,0.00027592806057964605,364,0.18954694122813673
DA-Imbalance,gas_mean,0.11419891259501025,0.029375250076206012,0.18159797860918656,0.0004981583615549705,364,0.18159797860918656
DA-Imbalance,prev2_da_supply_mean,0.1371434807990515,0.008795001239434308,0.17773782879635927,0.0006579666817209367,364,0.17773782879635927
