datetime,reg_mean,reg_std,reg_range,reg_abs_mean,reg_count,imbalance,imb_price,idm_price,idm_imb_spread,month,year_month,reg_vol_quartile,period
2025-01-05 15:00:00,1.3774499999999998,22.646022554520044,78.844,19.507449999999995,60,0.15200000000000014,171.9107,101.53,-70.38069999999999,2025-01,2025-01,Q2,2025
2025-01-05 16:00:00,-0.8901500000000001,19.0401297645708,67.53999999999999,14.926449999999997,60,-1.016,105.00534999999999,110.78999999999999,5.784649999999999,2025-01,2025-01,Q2,2025
2025-01-05 17:00:00,2.6846499999999995,23.666689144130725,81.596,19.774250000000002,60,-0.09100000000000019,131.393325,135.26,3.8666749999999865,2025-01,2025-01,Q2,2025
2025-01-05 18:00:00,-11.528250000000002,12.188013398313018,41.421,14.404649999999998,60,13.211,84.6602,151.67,67.00979999999998,2025-01,2025-01,Q1 (Low),2025
2025-01-05 19:00:00,-47.17135,22.879655992454317,96.53999999999999,47.17135,60,44.426,58.21575,235.15,176.93425000000002,2025-01,2025-01,Q2,2025
2025-01-05 20:00:00,-21.6103,32.411564893163195,116.119,29.710600000000003,60,27.234,104.8774,162.89999999999998,58.02259999999998,2025-01,2025-01,Q3,2025
2025-01-05 21:00:00,-18.01535,40.40093287386832,175.253,35.22155,60,14.119,127.657675,150.765,23.10732499999999,2025-01,2025-01,Q4 (High),2025
2025-01-05 22:00:00,-19.650100000000002,40.24051549889675,146.622,38.230500000000006,60,20.629,63.815400000000004,144.25,80.43459999999999,2025-01,2025-01,Q4 (High),2025
2025-01-05 23:00:00,-40.183099999999996,34.63091418141713,120.794,43.2652,60,43.413,11.293775,92.28,80.986225,2025-01,2025-01,Q4 (High),2025
2025-01-06 00:00:00,-57.0679,37.88316703274038,115.146,57.0679,60,54.967,146.7613,109.38499999999999,-37.376300000000015,2025-01,2025-01,Q4 (High),2025
2025-01-06 01:00:00,-8.517750000000001,22.08811805644437,94.744,16.97175,60,7.281,99.6979,125.425,25.727099999999993,2025-01,2025-01,Q2,2025
2025-01-06 02:00:00,7.68245,22.6931355120957,95.828,19.372249999999994,60,-9.947,67.99747500000001,78.465,10.467524999999995,2025-01,2025-01,Q2,2025
2025-01-06 03:00:00,-7.46005,13.032759234661096,49.896,12.29665,60,9.697,75.7228,78.58500000000001,2.8622000000000014,2025-01,2025-01,Q1 (Low),2025
2025-01-06 04:00:00,-9.57565,21.811379886115425,79.937,16.28205,60,7.895999999999999,18.388075,23.29,4.9019249999999985,2025-01,2025-01,Q2,2025
2025-01-06 05:00:00,-11.77805,13.122341712301457,49.923,13.32335,60,10.379,30.998975,47.730000000000004,16.731025000000002,2025-01,2025-01,Q1 (Low),2025
2025-01-06 06:00:00,-18.61315,29.854136106042926,94.381,26.549950000000006,60,19.452,116.7327,18.02,-98.7127,2025-01,2025-01,Q3,2025
2025-01-06 07:00:00,-24.949099999999998,20.35564007936567,85.267,26.629499999999997,60,26.766000000000002,98.37049999999999,110.98,12.609500000000011,2025-01,2025-01,Q2,2025
2025-01-06 08:00:00,-34.42375,23.66342356681599,85.011,35.588249999999995,60,33.748,113.062375,131.95999999999998,18.897624999999977,2025-01,2025-01,Q2,2025
2025-01-06 09:00:00,-32.6418,19.772769702852298,71.37100000000001,32.6418,60,33.482,56.803425000000004,123.36500000000001,66.561575,2025-01,2025-01,Q2,2025
2025-01-06 10:00:00,-37.1253,11.37400373629358,43.80799999999999,37.125299999999996,60,38.686,101.6158,98.7,-2.91579999999999,2025-01,2025-01,Q1 (Low),2025
2025-01-06 11:00:00,44.248349999999995,33.1784797246879,174.37900000000002,50.15465000000001,60,-48.252,147.18115,97.64,-49.54115,2025-01,2025-01,Q3,2025
2025-01-06 12:00:00,45.01185,19.38068564215852,74.633,45.01184999999998,60,-45.474000000000004,118.07165,116.655,-1.4166500000000042,2025-01,2025-01,Q2,2025
2025-01-06 13:00:00,33.54605,12.523525819974155,56.621,33.54605,60,-32.469,132.372075,102.275,-30.09707499999999,2025-01,2025-01,Q1 (Low),2025
2025-01-06 14:00:00,10.111349999999998,17.19986873306729,71.804,16.031850000000002,60,-10.156,91.955925,100.125,8.169075000000007,2025-01,2025-01,Q1 (Low),2025
2025-01-06 15:00:00,-26.2738,24.193282490975367,78.74100000000001,29.302,60,28.282,41.0812,109.72,68.6388,2025-01,2025-01,Q2,2025
2025-01-06 16:00:00,-58.1593,16.457478915297372,62.952,58.159300000000016,60,56.604,56.441050000000004,106.80000000000001,50.35895000000001,2025-01,2025-01,Q1 (Low),2025
2025-01-06 17:00:00,-44.94155,21.979997039238093,91.825,45.07315000000002,60,46.120000000000005,58.52995,143.335,84.80505000000001,2025-01,2025-01,Q2,2025
2025-01-06 18:00:00,-45.67915,18.837353301825512,62.943999999999996,45.67915,60,47.092999999999996,-0.620825,151.135,151.755825,2025-01,2025-01,Q1 (Low),2025
2025-01-06 19:00:00,-24.47915,20.554405818131563,79.654,26.529649999999997,60,26.736,9.798725000000001,144.055,134.25627500000002,2025-01,2025-01,Q2,2025
2025-01-06 20:00:00,-56.28605,25.590413302591603,87.405,56.28605000000002,60,60.346000000000004,12.504775,176.71499999999997,164.21022499999998,2025-01,2025-01,Q3,2025
2025-01-06 21:00:00,-77.16405,44.827312919021054,157.644,77.16405,60,73.906,30.792725,147.15,116.357275,2025-01,2025-01,Q4 (High),2025
2025-01-06 22:00:00,-47.6982,25.15720565428926,87.595,47.69819999999999,60,46.837999999999994,43.121624999999995,166.65,123.52837500000001,2025-01,2025-01,Q3,2025
2025-01-06 23:00:00,-55.813250000000004,31.19617557048582,105.74,55.81325000000002,60,58.846000000000004,-23.86985,113.585,137.45485,2025-01,2025-01,Q3,2025
2025-01-07 00:00:00,-141.8792,26.78101511904991,79.777,141.8792,60,141.063,-120.11625,42.18000000000001,162.29625,2025-01,2025-01,Q3,2025
2025-01-07 01:00:00,-143.32150000000001,19.19629749920452,63.53999999999999,143.32150000000001,60,145.099,-124.19682499999999,69.345,193.541825,2025-01,2025-01,Q2,2025
2025-01-07 02:00:00,-106.18655,32.123091778938964,128.544,106.18654999999997,60,105.506,-22.525199999999998,62.89,85.4152,2025-01,2025-01,Q3,2025
2025-01-07 03:00:00,-200.92405,24.640353321554002,88.89399999999998,200.92405000000002,60,199.098,-107.770375,-0.2450000000000001,107.525375,2025-01,2025-01,Q2,2025
2025-01-07 04:00:00,-47.07185,35.505222125253056,122.39999999999999,47.07805,60,47.185,-12.330425,51.165,63.495425,2025-01,2025-01,Q4 (High),2025
2025-01-07 05:00:00,-55.217200000000005,62.61019499259023,169.702,70.05830000000002,60,53.533,-42.961675,67.5,110.461675,2025-01,2025-01,Q4 (High),2025
2025-01-07 06:00:00,-14.104999999999999,76.75102292720847,272.361,57.47190000000001,60,8.129,107.5577,92.6,-14.957700000000003,2025-01,2025-01,Q4 (High),2025
2025-01-07 07:00:00,28.3435,40.89706045650532,164.745,42.88230000000001,60,-27.105999999999998,130.750725,154.22,23.46927500000001,2025-01,2025-01,Q4 (High),2025
2025-01-07 08:00:00,18.20785,25.284407114793304,99.864,27.00695,60,-18.85,104.82875000000001,147.975,43.14624999999998,2025-01,2025-01,Q3,2025
2025-01-07 09:00:00,27.635550000000002,15.37055527974273,66.021,27.63554999999999,60,-28.125,128.420725,142.20999999999998,13.789274999999975,2025-01,2025-01,Q1 (Low),2025
2025-01-07 10:00:00,53.632,13.806657204136792,51.96499999999999,53.631999999999984,60,-52.25,109.08642499999999,123.22,14.133575000000008,2025-01,2025-01,Q1 (Low),2025
2025-01-07 11:00:00,84.8815,28.097590442260653,132.78,85.65080000000002,60,-89.064,124.938825,151.82999999999998,26.89117499999999,2025-01,2025-01,Q3,2025
2025-01-07 12:00:00,55.39340000000001,13.609595811131676,56.212,55.3934,60,-53.063,142.114025,150.565,8.450975,2025-01,2025-01,Q1 (Low),2025
2025-01-07 13:00:00,26.44875,20.39847057545729,84.96100000000001,26.852150000000005,60,-25.006999999999998,120.22970000000001,101.325,-18.904700000000005,2025-01,2025-01,Q2,2025
2025-01-07 14:00:00,44.2801,18.87690878322427,69.378,44.48120000000001,60,-45.838,64.31265,68.72,4.407349999999994,2025-01,2025-01,Q1 (Low),2025
2025-01-07 15:00:00,23.35335,26.35400672964041,116.226,29.022650000000002,60,-24.096,98.43465,98.655,0.22034999999999627,2025-01,2025-01,Q3,2025
2025-01-07 16:00:00,17.18235,24.356418867761832,100.452,23.375050000000005,60,-19.240000000000002,109.557,128.62,19.063000000000002,2025-01,2025-01,Q2,2025
2025-01-07 17:00:00,23.9092,36.253041076787675,103.895,33.2746,60,-18.998,84.951075,148.055,63.103925000000004,2025-01,2025-01,Q4 (High),2025
2025-01-07 18:00:00,9.49855,34.86475197121596,109.395,30.627150000000004,60,-9.600999999999999,80.98339999999999,142.065,61.08160000000001,2025-01,2025-01,Q4 (High),2025
2025-01-07 19:00:00,4.24145,25.155396350282988,97.655,20.232349999999993,60,-1.2670000000000003,83.887625,149.45999999999998,65.57237499999998,2025-01,2025-01,Q3,2025
