date,spread_mean,direction_binary,period,da_price_mean,da_price_std,da_price_max,da_price_min,da_price_range,morning_idm_price,morning_imb_price,morning_spread,morning_spread_positive,prev_afternoon_spread,prev_afternoon_positive
2025-07-08,41.7993375,1,2025,103.04916666666666,19.146125937269844,149.05,76.02,73.03000000000002,94.21642857142857,64.11201785714286,30.104410714285716,1.0,56.31493125,0.9166666666666666
2025-07-09,19.65681,1,2025,91.32166666666666,27.22076935095647,140.57,35.94,104.63,89.65285714285714,66.95699642857143,22.695860714285715,0.7142857142857143,45.64608958333333,0.9166666666666666
2025-07-10,29.755982291666665,1,2025,90.75916666666666,27.64000187451492,140.99,38.98,102.01000000000002,91.32785714285716,60.89013571428571,30.43772142857143,0.7142857142857143,11.767863636363641,0.6363636363636364
2025-07-11,47.80440625,1,2025,93.28583333333334,26.31169287377872,131.74,32.04,99.70000000000002,83.18214285714285,14.379189285714284,68.80295357142857,0.8571428571428571,24.09453125,0.8333333333333334
2025-07-12,0.9616302083333352,1,2025,72.69166666666666,45.75469951312358,125.74,0.0,125.74,100.56928571428571,88.84867857142856,11.720607142857144,0.7142857142857143,43.18228125000001,0.8333333333333334
2025-07-13,5.217859375000001,1,2025,71.465,50.479448767058535,128.39,0.0,128.39,93.6557142857143,73.30906785714285,20.346646428571432,1.0,-20.763183333333334,0.3333333333333333
2025-07-14,26.20303125,1,2025,110.50791666666667,41.03436004334254,233.47,58.41,175.06,91.57928571428572,70.74243571428572,20.836850000000005,0.8571428571428571,-3.215031250000001,0.5
2025-07-15,5.224720833333337,1,2025,100.93333333333334,31.1238811800544,172.2,49.51,122.69,90.3,68.795975,21.504025000000002,1.0,28.316402083333333,0.8333333333333334
2025-07-16,15.989576041666666,1,2025,106.66208333333333,20.65961066579714,163.48,80.95,82.52999999999999,87.57285714285715,88.56965000000001,-0.9967928571428624,0.5714285714285714,-4.146858333333327,0.5
2025-07-17,0.030907291666667,1,2025,102.40500000000002,24.812782119741005,156.83,63.08,93.75000000000001,98.85214285714287,111.21054642857143,-12.358403571428576,0.14285714285714285,13.886027083333333,0.75
2025-07-18,25.346165625,1,2025,104.06208333333335,21.94319345376318,153.69,71.2,82.49,100.59642857142856,80.01933928571428,20.577089285714287,0.8571428571428571,2.7405437500000023,0.5833333333333334
2025-07-19,-24.226630208333333,0,2025,77.08,48.719752087610836,145.07,-0.01,145.07999999999998,101.90785714285714,106.14041428571429,-4.2325571428571385,0.42857142857142855,21.16645625,0.8333333333333334
2025-07-20,15.822880208333336,1,2025,75.65583333333333,48.03532159790848,142.28,-0.01,142.29,104.045,96.24760714285715,7.797392857142859,0.5714285714285714,-42.754097916666666,0.3333333333333333
2025-07-21,-1.4615302083333317,0,2025,106.20875000000001,25.885613649703945,182.96,80.68,102.28,90.00714285714285,88.54023928571428,1.4669035714285759,0.5714285714285714,8.44624791666667,0.5
2025-07-22,1.8327218750000036,1,2025,97.12041666666666,35.60175624382775,171.1,24.65,146.45,98.72428571428573,130.78424285714286,-32.05995714285714,0.14285714285714285,-15.879485416666666,0.3333333333333333
2025-07-23,18.86117708333333,1,2025,118.95416666666667,48.263611994479064,255.42,73.75,181.67,99.63571428571429,98.99446071428572,0.641253571428572,0.42857142857142855,6.39832916666667,0.4166666666666667
2025-07-24,-11.945155208333333,0,2025,117.68666666666667,39.79818650736943,234.42,83.35,151.07,100.64285714285714,101.29094285714287,-0.6480857142857133,0.14285714285714285,28.85632291666667,0.6666666666666666
2025-07-25,5.850250000000002,1,2025,121.34125,51.46036316069325,295.85,82.38,213.47000000000003,101.02142857142857,93.55247857142857,7.468950000000007,0.7142857142857143,-38.80529583333333,0.4166666666666667
2025-07-26,-1.525095833333335,0,2025,100.98,23.350172515888165,154.74,64.01,90.73,112.53428571428572,97.13952142857143,15.394764285714286,1.0,6.020952083333333,0.6666666666666666
2025-07-27,14.989873958333332,1,2025,85.22666666666667,35.9339757679658,158.64,8.85,149.79,89.77714285714285,66.76461071428572,23.012532142857143,1.0,-18.949181250000006,0.5
2025-07-28,40.15913977272727,1,2025,97.89583333333333,17.80831044806027,137.03,74.26,62.769999999999996,86.35357142857143,59.933567857142855,26.420003571428573,1.0,-2.145883333333336,0.5833333333333334
2025-07-29,11.274416666666664,1,2025,85.48166666666667,36.313088150341784,160.8,11.44,149.36,78.84857142857143,56.43919999999999,22.409371428571433,0.8571428571428571,40.743425,1.0
2025-07-30,5.452264583333336,1,2025,85.11583333333333,41.44626787799467,174.3,10.7,163.60000000000002,88.56928571428571,78.16445357142857,10.404832142857146,0.5714285714285714,-2.3989270833333367,0.4166666666666667
2025-07-31,6.919630208333334,1,2025,89.79458333333334,26.59812742332694,143.81,35.14,108.67,91.3442857142857,101.90351071428572,-10.559225,0.42857142857142855,-4.224318749999996,0.4166666666666667
2025-08-01,18.516628125,1,2025,95.53750000000001,26.292151457438198,151.28,50.95,100.33,96.85142857142857,89.13443214285714,7.7169964285714245,0.5714285714285714,14.301097916666668,0.6666666666666666
2025-08-02,4.095463541666667,1,2025,69.64208333333333,45.00821683234669,139.94,0.0,139.94,87.9057142857143,64.25190357142857,23.653810714285715,0.8571428571428571,14.99885416666667,0.6666666666666666
2025-08-03,-11.623793749999995,0,2025,45.06708333333333,44.40226262146781,119.14,-10.08,129.22,64.46142857142857,58.887828571428564,5.573600000000003,0.42857142857142855,-11.43239583333333,0.4166666666666667
2025-08-04,2.5435958333333306,1,2025,78.25208333333333,42.77544795376113,175.34,0.66,174.68,75.45071428571428,48.30287857142857,27.147835714285716,1.0,-22.834262499999998,0.25
2025-08-05,-16.263125,0,2025,54.79916666666667,51.10706927334168,152.54,-11.84,164.38,42.767857142857146,44.32901428571428,-1.561157142857145,0.7142857142857143,-17.84013958333334,0.4166666666666667
2025-08-06,-14.505303947368423,0,2025,66.94833333333334,49.645870327547996,174.78,-1.17,175.95,66.76357142857144,81.23974642857142,-14.476175000000003,0.2857142857142857,-21.913910416666663,0.3333333333333333
2025-08-07,18.634382291666668,1,2025,71.32416666666667,50.44761440618736,158.55,-2.97,161.52,88.69642857142857,64.80036785714286,23.896060714285717,0.8571428571428571,-25.071250000000003,0.14285714285714285
2025-08-08,10.865944791666664,1,2025,76.55499999999999,54.50024858339798,192.13,-0.01,192.14,90.47214285714287,72.78726785714285,17.684874999999998,1.0,-1.102629166666669,0.4166666666666667
2025-08-09,-2.6870260416666683,0,2025,67.21541666666667,54.81389469826746,155.7,-16.26,171.95999999999998,99.94428571428571,81.54519642857143,18.399089285714286,0.8571428571428571,-7.654766666666667,0.5
