datetime,target,pred_median,direction,size,bid,ask,mid,spread,imb_settlement_price,pnl
2026-03-17 16:00:00,-2.728,2.890259068065598,surplus,2.890259068065598,103.54,103.87,103.705,0.3299999999999983,157.208375,-38.778876878023745
2026-03-17 18:45:00,-4.388,-2.285297919585667,deficit,2.285297919585667,1.01,,1.01,,173.61775,
2026-03-17 19:45:00,3.794,2.232559094420228,surplus,2.232559094420228,,172.0,172.0,,205.6775,
2026-03-17 23:30:00,-0.563,2.0409662130358504,surplus,2.0409662130358504,93.1,93.4,93.25,0.3000000000000113,86.101725,3.5708107061333627
2026-03-17 23:45:00,3.697,2.7075133915658043,surplus,2.7075133915658043,90.14,91.22,90.68,1.0799999999999983,86.101725,2.7334209103313487
2026-03-18 01:00:00,-2.769,-3.213734788349246,deficit,3.213734788349246,87.97,87.98,87.975,0.0100000000000051,100.10425,9.741031001910828
2026-03-18 01:30:00,-1.446,-2.24362478369071,deficit,2.24362478369071,84.32,84.7,84.50999999999999,0.3800000000000096,100.10425,8.6403392685419
2026-03-18 01:45:00,-1.647,-2.3138153862329824,deficit,2.3138153862329824,81.7,82.0,81.85,0.2999999999999971,100.10425,10.472473051552114
2026-03-18 02:00:00,-12.367,-2.268628123821027,deficit,2.268628123821027,81.68,82.19,81.935,0.5099999999999909,103.21025,11.921782579937238
2026-03-18 05:00:00,-3.255,2.2392633294143147,surplus,2.2392633294143147,74.25,75.85,75.05,1.5999999999999943,119.3005,-25.219983155444897
2026-03-18 05:15:00,-2.582,2.2313668469549386,surplus,2.2313668469549386,80.42,80.92,80.67,0.5,119.3005,-21.68916467325787
2026-03-18 05:45:00,-0.735,2.6462311943232724,surplus,2.6462311943232724,102.73,105.08,103.905,2.3499999999999943,119.3005,-10.962343501383444
2026-03-18 06:00:00,-7.154,2.674178449896739,surplus,2.674178449896739,108.27,109.4,108.835,1.1300000000000097,151.51075,-28.90837045184311
2026-03-18 06:45:00,-4.431,-3.2149581854653237,deficit,3.2149581854653237,121.74,128.05,124.895,6.3100000000000165,151.51075,18.85633256241389
2026-03-18 07:00:00,0.769,-3.1085842302821654,deficit,3.1085842302821654,120.9,122.76,121.83,1.8599999999999997,103.82325,-14.716620605698951
2026-03-18 07:30:00,2.496,-2.232846117091131,deficit,2.232846117091131,89.29,89.63,89.46000000000001,0.3399999999999892,103.82325,7.922835787850927
2026-03-18 07:45:00,-0.426,-2.1372049467644283,deficit,2.1372049467644283,116.8,125.0,120.9,8.200000000000003,103.82325,-11.314763714098401
2026-03-18 08:00:00,5.751,-3.195692292308312,deficit,3.195692292308312,95.64,96.98,96.31,1.3400000000000034,104.21425,5.7796092414078535
2026-03-18 09:45:00,4.394,-3.106063925730875,deficit,3.106063925730875,27.72,35.83,31.775,8.11,80.3075,34.537489564173754
