delivery_start,lead_minutes,snapshot_time,bid,ask,mid,spread,mid_move_from_start,mid_change_15min,mid_change_1h,spread_change_15min,n_updates_session,session_start_mid
2025-02-21 04:00:00,105,2025-02-21 02:14:42.203,,143.9,143.9,,-1.0749999999999886,6.849999999999994,7.650000000000006,,308,144.975
2025-02-21 04:00:00,120,2025-02-21 01:56:40.907,137.05,,137.05,,-7.924999999999983,-0.11999999999997613,0.8000000000000114,,308,144.975
2025-02-21 05:00:00,60,2025-02-21 03:31:21.919,,128.13,128.13,,-65.74000000000001,0.0,-59.870000000000005,,195,193.87
2025-02-21 05:00:00,75,2025-02-21 03:31:21.919,,128.13,128.13,,-65.74000000000001,-59.860000000000014,-0.06999999999999318,,195,193.87
2025-02-21 05:00:00,90,2025-02-21 03:00:41.916,,187.99,187.99,,-5.8799999999999955,0.0,59.73000000000002,,195,193.87
2025-02-21 05:00:00,105,2025-02-21 03:00:41.916,,187.99,187.99,,-5.8799999999999955,-0.009999999999990905,0.0,,195,193.87
2025-02-21 05:00:00,120,2025-02-21 02:59:21.777,,188.0,188.0,,-5.8700000000000045,59.80000000000001,-55.004999999999995,,195,193.87
2025-02-22 00:00:00,60,2025-02-21 22:59:20.616,170.0,,170.0,,-31.50999999999999,47.790000000000006,-10.0,,476,201.51
2025-02-22 00:00:00,75,2025-02-21 22:44:41.489,122.21,,122.21,,-79.3,-18.63000000000001,108.91,,476,201.51
2025-02-22 00:00:00,90,2025-02-21 22:29:20.629,140.84,,140.84,,-60.66999999999999,-36.16,10.900000000000006,,476,201.51
2025-02-22 00:00:00,105,2025-02-21 22:14:40.215,177.0,,177.0,,-24.50999999999999,-3.0,59.06999999999999,,476,201.51
2025-02-22 00:00:00,120,2025-02-21 21:59:20.459,,180.0,180.0,,-21.50999999999999,166.7,116.45,,476,201.51
2025-02-22 01:00:00,60,2025-02-21 23:58:01.872,136.42,138.42,137.42,2.0,-27.44500000000002,-0.9900000000000091,-2.5100000000000193,,436,164.865
2025-02-22 01:00:00,75,2025-02-21 23:42:02.323,,138.41,138.41,,-26.455000000000013,2.5200000000000102,7.409999999999997,,436,164.865
2025-02-22 01:00:00,90,2025-02-21 23:29:21.711,,135.89,135.89,,-28.975000000000023,5.429999999999978,9.889999999999986,,436,164.865
2025-02-22 01:00:00,105,2025-02-21 23:14:40.597,130.46,,130.46,,-34.405,-9.469999999999999,-49.53999999999999,,436,164.865
2025-02-22 01:00:00,120,2025-02-21 22:59:20.616,,139.93,139.93,,-24.935000000000002,8.930000000000007,138.22,,436,164.865
2025-02-22 02:00:00,60,2025-02-22 00:58:00.648,,80.0,80.0,,-8.150000000000006,25.299999999999997,22.15,,596,88.15
2025-02-22 02:00:00,75,2025-02-22 00:41:21.466,54.7,,54.7,,-33.45,-21.409999999999997,-27.819999999999993,,596,88.15
2025-02-22 02:00:00,90,2025-02-22 00:26:40.622,76.11,,76.11,,-12.040000000000006,-29.430000000000007,18.119999999999997,,596,88.15
2025-02-22 02:00:00,105,2025-02-22 00:14:02.063,105.54,,105.54,,17.39,47.690000000000005,22.720000000000013,,596,88.15
2025-02-22 02:00:00,120,2025-02-21 23:58:01.872,,57.85,57.85,,-30.300000000000004,-24.669999999999995,-0.12999999999999545,,596,88.15
2025-02-22 03:00:00,60,2025-02-22 01:59:20.599,,64.42,64.42,,14.740000000000009,-14.834999999999994,-10.539999999999992,,538,49.67999999999999
2025-02-22 03:00:00,75,2025-02-22 01:44:41.525,75.71,82.8,79.255,7.090000000000003,29.575000000000003,15.854999999999997,-60.775000000000006,5.3500000000000085,538,49.67999999999999
2025-02-22 03:00:00,90,2025-02-22 01:29:21.378,62.53,64.27,63.4,1.7399999999999949,13.720000000000006,-28.860000000000007,-14.634999999999998,,538,49.67999999999999
2025-02-22 03:00:00,105,2025-02-22 01:14:40.525,,92.26,92.26,,42.58000000000001,17.30000000000001,28.815000000000005,,538,49.67999999999999
2025-02-22 03:00:00,120,2025-02-22 00:59:20.583,74.96,,74.96,,25.28,-65.07000000000001,24.859999999999992,,538,49.67999999999999
2025-02-22 04:00:00,60,2025-02-22 01:54:02.037,-1.82,,-1.82,,-239.48,0.0,0.0,,144,237.66
2025-02-22 04:00:00,75,2025-02-22 01:54:02.037,-1.82,,-1.82,,-239.48,0.0,-206.82,,144,237.66
2025-02-22 04:00:00,90,2025-02-22 01:54:02.037,-1.82,,-1.82,,-239.48,0.0,-206.82,,144,237.66
2025-02-22 04:00:00,105,2025-02-22 01:54:02.037,-1.82,,-1.82,,-239.48,0.0,-206.82,,144,237.66
2025-02-22 04:00:00,120,2025-02-22 01:54:02.037,-1.82,,-1.82,,-239.48,-206.82,-206.82,,144,237.66
2025-02-22 05:00:00,60,2025-02-22 03:24:40.597,99.47,,99.47,,-73.85499999999999,0.0,0.10999999999999943,,342,173.325
2025-02-22 05:00:00,75,2025-02-22 03:24:40.597,99.47,,99.47,,-73.85499999999999,0.0,-0.09000000000000341,,342,173.325
2025-02-22 05:00:00,90,2025-02-22 03:24:40.597,99.47,,99.47,,-73.85499999999999,-0.010000000000005116,0.8900000000000006,,342,173.325
2025-02-22 05:00:00,105,2025-02-22 03:14:40.521,99.48,,99.48,,-73.84499999999998,0.12000000000000455,1.3700000000000045,,342,173.325
2025-02-22 05:00:00,120,2025-02-22 02:59:21.289,99.36,,99.36,,-73.96499999999999,-0.20000000000000284,-10.64,,342,173.325
2025-02-23 00:00:00,60,2025-02-22 22:59:22.726,122.08,,122.08,,-57.92,-15.16000000000001,-22.250000000000014,,751,180.0
2025-02-23 00:00:00,75,2025-02-22 22:44:42.796,130.01,144.47,137.24,14.460000000000008,-42.75999999999999,-7.769999999999982,-6.6200000000000045,,751,180.0
2025-02-23 00:00:00,90,2025-02-22 22:29:21.110,145.01,,145.01,,-34.99000000000001,-274.98,1.9599999999999795,,751,180.0
2025-02-23 00:00:00,105,2025-02-22 22:13:20.450,,419.99,419.99,,239.99,275.65999999999997,284.99,,751,180.0
2025-02-23 00:00:00,120,2025-02-22 21:47:20.177,144.33,,144.33,,-35.66999999999999,0.46999999999999886,3.170000000000016,,751,180.0
2025-02-23 01:00:00,60,2025-02-22 23:59:21.111,126.88,,126.88,,-31.975000000000023,-0.6100000000000136,-9.120000000000005,,571,158.85500000000002
2025-02-23 01:00:00,75,2025-02-22 23:44:42.859,125.98,129.0,127.49000000000001,3.019999999999996,-31.36500000000001,-7.509999999999991,-4.599999999999994,,571,158.85500000000002
2025-02-23 01:00:00,90,2025-02-22 23:29:21.098,,135.0,135.0,,-23.855000000000018,10.909999999999997,-11.419999999999987,,571,158.85500000000002
2025-02-23 01:00:00,105,2025-02-22 23:14:03.355,124.09,,124.09,,-34.765000000000015,-11.909999999999997,-50.91,,571,158.85500000000002
2025-02-23 01:00:00,120,2025-02-22 22:59:22.726,,136.0,136.0,,-22.855000000000018,3.9099999999999966,65.19,,571,158.85500000000002
