datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-04 15:15:00,83.39,True,83.39,84.5,1.1099999999999994,55,95.2,-1.848,-5.623962108366931,deficit,5.0,77.132325,-7.822093750000008,-22.58459375000001
2026-03-04 15:30:00,97.03,True,97.03,98.41,1.3799999999999955,55,99.09,-0.791,-5.972650810797541,deficit,5.0,77.132325,-24.87209375000001,-27.44709375000001
2026-03-04 15:45:00,112.83,True,112.83,114.48,1.6500000000000057,55,111.7,3.124,-6.203485578469247,deficit,5.0,77.132325,-44.622093750000005,-43.20959375000001
2026-03-04 18:30:00,197.19,True,197.19,199.76,2.569999999999993,54,218.46,4.493,-3.254662462611608,deficit,3.254662462611608,72.0005,-101.86239159077897,-119.16905923571619
2026-03-04 20:45:00,127.41,True,126.41,,,54,129.41,-0.772,4.3777111307355945,surplus,4.3777111307355945,138.88325,-12.556643557678047,-10.36778799231025
2026-03-04 22:15:00,124.35,True,,124.35,,55,119.15,4.176,3.323206424166643,surplus,3.323206424166643,0.0,103.31017971128051,98.99001135986389
2026-03-04 22:30:00,113.33,True,111.49,113.33,1.8400000000000034,54,107.26,5.125,3.2702624031730654,surplus,3.2702624031730654,0.0,92.65470953790087,87.69208634108575
2026-03-04 22:45:00,116.42,True,114.06,116.42,2.3599999999999994,55,127.04,5.083,3.425744428335828,surplus,3.425744428335828,0.0,99.70629158671427,108.8016430439459
2026-03-05 05:45:00,140.9,True,140.9,142.85,1.9499999999999886,53,130.67,3.299,-3.5419740877274384,deficit,3.5419740877274384,116.355975,-21.733575139633615,-12.674976410270675
2026-03-05 07:45:00,110.74,True,109.31,110.74,1.4299999999999926,55,116.84,17.781,3.34730971851284,surplus,3.34730971851284,113.831,-2.5866335849808038,2.518013735751284
2026-03-05 09:00:00,58.76,False,58.76,73.59,14.830000000000005,55,69.29,2.127,-4.055207610931948,deficit,4.055207610931948,78.809025,20.32573969294123,9.650405657162871
2026-03-05 09:15:00,59.75,True,59.75,75.14,15.39,55,63.72,2.063,-3.6591309572774953,deficit,3.6591309572774953,78.809025,17.434867098256433,13.80317962315852
2026-03-05 10:00:00,62.02,True,62.02,67.65,5.630000000000003,54,22.39,17.874,-4.697600362799316,deficit,4.697600362799316,34.31255,-32.539631793060984,14.001843801373248
2026-03-05 10:15:00,34.05,True,34.05,43.29,9.240000000000002,55,6.18,8.671,-6.231146007878002,deficit,5.0,34.31255,0.3281875000000056,35.165687500000004
2026-03-05 10:30:00,20.0,True,,21.0,,55,8.73,6.263,-7.388085052524295,deficit,5.0,34.31255,17.890687500000002,31.9781875
2026-03-05 10:45:00,3.59,True,3.59,9.9,6.3100000000000005,55,10.7,11.359,-8.55887202198505,deficit,5.0,34.31255,38.4031875,29.515687500000002
2026-03-05 16:00:00,93.46,True,92.61,93.46,0.8499999999999943,55,102.73,8.364,4.807855282037847,surplus,4.807855282037847,112.448,-22.82288902383366,-11.680684407710936
