tradeday,hour,ttd_bucket,avg_bid,avg_ask,n_snapshots,mid_price,spread,da_price,idm_da_diff,idm_da_pct
2025-04-10,15,6.0,27.16531380753138,254.46333333333334,248,140.81432357043235,227.29801952580195,2.22,138.59432357043235,6242.987548217672
2025-04-10,15,3.0,31.37336448598131,274.46,120,152.91668224299065,243.08663551401867,2.22,150.69668224299065,6788.138839774354
2025-04-10,15,1.0,14.700277777777778,43.38852941176471,70,29.044403594771243,28.68825163398693,2.22,26.824403594771244,1208.3064682329389
2025-04-10,15,0.5,,1.0,1,1.0,,2.22,-1.2200000000000002,-54.95495495495496
2025-04-10,16,24.0,48.051651376146786,73.9425,129,60.997075688073394,25.89084862385321,68.08,-7.082924311926604,-10.403825370044952
2025-04-10,16,12.0,55.19573529411765,71.42176923076923,198,63.308752262443434,16.226033936651582,68.08,-4.771247737556564,-7.008295736716458
2025-04-10,16,6.0,64.8166,175.06516129032258,81,119.94088064516129,110.24856129032258,68.08,51.86088064516129,76.17638167620636
2025-04-10,16,3.0,51.86447916666667,192.13714285714286,103,122.00081101190477,140.27266369047618,68.08,53.920811011904775,79.20213133358516
2025-04-10,16,1.0,14.309142857142858,44.41083333333333,47,29.359988095238094,30.10169047619047,68.08,-38.720011904761904,-56.874283056348276
2025-04-10,17,24.0,72.00830985915493,93.2475,178,82.62790492957747,21.239190140845068,83.82,-1.1920950704225248,-1.4222083875238904
2025-04-10,17,12.0,77.75287356321839,237.58625,95,157.6695617816092,159.83337643678163,83.82,73.8495617816092,88.10494128085088
2025-04-10,17,6.0,84.392,709.7475000000001,109,397.06975,625.3555000000001,83.82,313.24975,373.7171916010499
2025-04-10,17,3.0,70.55035714285714,88.12636363636364,123,79.33836038961039,17.576006493506497,83.82,-4.481639610389607,-5.346742555940834
2025-04-10,17,1.0,57.04065573770492,87.93857142857142,75,72.48961358313817,30.897915690866505,83.82,-11.330386416861828,-13.517521375401847
2025-04-10,18,24.0,102.39321428571428,139.06833333333333,58,120.73077380952381,36.67511904761905,117.33,3.4007738095238125,2.898469112353032
2025-04-10,18,12.0,110.07673267326733,124.0702538071066,298,117.07349324018696,13.993521133839266,117.33,-0.2565067598130355,-0.21861992654311385
