X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-4,70.0,-12.0,combined,71692.12984544647,26.180298658138504,8270,82.73309323729492
-4,70.0,-10.0,combined,77675.34794198493,28.365230770517435,8170,81.73269307723089
-4,70.0,-8.0,combined,83335.39597369914,30.432148690366326,8048,80.51220488195277
-4,70.0,-6.0,combined,88723.09599407134,32.39961144977774,7893,78.96158463385355
-4,75.0,-20.0,combined,56642.344555941,20.684467044968233,8635,86.38455382152861
-4,75.0,-18.0,combined,58478.07522779219,21.3548331974117,8590,85.9343737494998
-4,75.0,-16.0,combined,60943.12213833185,22.255011005817945,8529,85.32412965186074
-4,75.0,-14.0,combined,64583.20139499474,23.584283302291393,8449,84.52380952380952
-4,75.0,-12.0,combined,68591.82092098461,25.048137934919886,8350,83.53341336534615
-4,75.0,-10.0,combined,74858.90737772034,27.336732171238808,8243,82.46298519407763
-4,75.0,-8.0,combined,80975.15700378979,29.570244304626716,8109,81.12244897959184
-4,75.0,-6.0,combined,87251.10147267955,31.862073280996043,7930,79.33173269307723
-4,80.0,-20.0,combined,52688.878451676195,19.24075315939096,8726,87.29491796718688
-4,80.0,-18.0,combined,54617.98644889405,19.945218539619507,8679,86.82472989195679
-4,80.0,-16.0,combined,57329.4611778793,20.935386056777425,8612,86.15446178471389
-4,80.0,-14.0,combined,61055.43827037233,22.29602624538867,8530,85.33413365346138
-4,80.0,-12.0,combined,65615.081984188,23.961102097643884,8419,84.22368947579032
-4,80.0,-10.0,combined,72457.88777980156,26.459935648481437,8299,83.02320928371348
