X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
11,0.0,-10.0,,rule12,153131.82651653912,55.92018204664736,3569,35.704281712685074
11,0.0,-7.0,,rule12,154018.2153254284,56.243870627164924,3524,35.25410164065626
11,0.0,-4.0,,rule12,155049.01155103734,56.62029343815271,3471,34.72388955582233
11,0.0,-1.0,,rule12,155226.0317365813,56.68493709340539,3402,34.03361344537815
11,0.0,2.0,,rule12,155062.36299866723,56.6251690763465,3329,33.30332132853141
11,0.0,5.0,,rule12,154954.93909332773,56.5859403642009,3256,32.57302921168467
11,0.0,8.0,,rule12,154462.49415532628,56.4061109243815,3181,31.822729091636653
11,5.0,-10.0,,rule12,150984.1634373164,55.135905432849995,3911,39.12565026010404
11,5.0,-7.0,,rule12,152314.21782968735,55.62161036725364,3837,38.38535414165666
11,5.0,-4.0,,rule12,154378.53111067403,56.37544957298935,3738,37.39495798319328
11,5.0,-1.0,,rule12,154863.58434018915,56.5525797327597,3615,36.16446578631452
11,5.0,2.0,,rule12,154796.89236232292,56.52822537332857,3493,34.943977591036415
11,5.0,5.0,,rule12,155043.7983962618,56.61838971525774,3364,33.65346138455382
11,5.0,8.0,,rule12,154744.35114849944,56.50903854385753,3231,32.32292917166867
11,10.0,-10.0,,rule12,149780.22303440885,54.696254394686264,4060,40.61624649859944
11,10.0,-7.0,,rule12,151432.78850061004,55.29973287343341,3974,39.755902360944376
