datetime,date,hour,year,month,day_of_week,is_weekend,quarter,price_eur_mwh,demand_mw,supply_mw,net_flow_cz,net_flow_pl,net_flow_hu,net_import,price_lag24,price_change_24h,price_change_24h_pct,price_lag168,price_change_7d,price_daily_mean,price_daily_std,price_daily_range,yesterday_mean_price,yesterday_std_price,yesterday_range_price,price_momentum_6h,net_import_lag24,net_import_change_24h
2024-06-13 07:00:00,2024-06-13,7,2024,6,3,0,2,127.98,1183.7,1273.5,556.6,7.8,-654.2,-89.80000000000007,133.51,-5.529999999999987,-4.142011834319518,129.39,-1.4099999999999824,95.51083333333332,31.25282344346536,102.13,88.90708333333333,26.651932058061853,98.55000000000001,36.33,59.30000000000007,-149.10000000000014
2024-06-13 08:00:00,2024-06-13,8,2024,6,3,0,2,118.88,1201.7,1053.0,627.1,-50.3,-428.1,148.70000000000005,111.63,7.25,6.494669891606199,98.24,20.64,95.81291666666668,31.44981972425944,102.13,89.58833333333332,27.028217568451407,98.55000000000001,35.769999999999996,236.29999999999995,-87.59999999999991
2024-06-13 09:00:00,2024-06-13,9,2024,6,3,0,2,86.18,1276.8,950.8,593.2,505.5,-772.7,326.0,80.74,5.440000000000012,6.7376764924448995,71.97,14.210000000000008,96.03958333333333,31.355925794457875,102.13,89.73791666666666,26.966249756052587,98.55000000000001,4.160000000000011,360.10000000000014,-34.100000000000136
2024-06-13 10:00:00,2024-06-13,10,2024,6,3,0,2,73.88,1216.5,555.4,698.2,837.5,-874.6,661.1,66.51,7.36999999999999,11.081040445045842,57.8,16.08,96.34666666666668,31.089108629266477,102.13,89.92708333333333,26.77825894252206,98.55000000000001,-7.840000000000003,472.2000000000003,188.89999999999975
2024-06-13 11:00:00,2024-06-13,11,2024,6,3,0,2,66.41,1299.8,317.0,854.8,1018.4,-890.4,982.7999999999998,64.84,1.5699999999999932,2.421344848858719,28.77,37.64,96.41208333333333,31.02150922507578,102.13,90.09541666666667,26.599299758545087,98.55000000000001,-30.86,634.1999999999998,348.6
2024-06-13 12:00:00,2024-06-13,12,2024,6,3,0,2,57.7,1325.1,309.4,850.1,1159.1,-993.5,1015.6999999999998,69.16,-11.459999999999994,-16.57027183342972,23.92,33.78,95.93458333333335,31.543041674507588,102.13,90.43708333333332,26.259276369904484,98.55000000000001,-61.17999999999999,629.5,386.1999999999998
2024-06-13 13:00:00,2024-06-13,13,2024,6,3,0,2,51.49,1300.9,311.1,816.0,1127.4,-953.6,989.8000000000001,56.43,-4.939999999999998,-8.75420875420875,14.49,37.0,95.72874999999999,31.826876844483582,102.13,90.71500000000002,25.84203148563126,98.55000000000001,-76.49000000000001,582.2999999999997,407.50000000000034
2024-06-13 14:00:00,2024-06-13,14,2024,6,3,0,2,50.69,1246.3,319.2,863.2,1017.3,-953.4,927.1,48.81,1.8799999999999955,3.851669739807407,20.13,30.56,95.80708333333332,31.70847143412022,101.85,90.74958333333335,25.782842032970514,97.72,-68.19,577.8,349.30000000000007
2024-06-13 15:00:00,2024-06-13,15,2024,6,3,0,2,76.08,1202.3,345.1,992.3,589.0,-724.1,857.1999999999999,49.09,26.989999999999995,54.980647789773876,95.38,-19.299999999999997,96.93166666666667,30.432494170693406,100.25,89.97041666666667,26.770499415387913,97.72,-10.100000000000009,541.1999999999998,316.0000000000001
2024-06-13 16:00:00,2024-06-13,16,2024,6,3,0,2,94.31,1019.9,624.2,767.0,114.2,-485.5,395.70000000000005,63.56,30.75,48.37948395217118,106.31,-12.0,98.21291666666666,29.60240199995061,100.25,89.69083333333334,27.019074891102836,97.72,20.430000000000007,110.20000000000005,285.5
