,natgas_mw,hardcoal_mw,lignite_mw,nuclear_mw,fosiloil_mw,hydroreservoir_mw,hydrorunriver_mw,hydropump_mw,hydropump_cvtg2_mw,hydropump_cvtg3_mw,hydropump_cvtg4_mw,hydropump_cvtg5_mw,hydropump_cvtg6_mw,resl_mw,resl_isr_mw,de_spot,sk_spot_m1,sk_spot_m2,sk_spot_merged,cons_gfs,cons_icon,cons_ecmf,cons_seps,solar_fcst,temp_gfs,temp_ecm,temp_icon,cloud_ec,cloud_icon,picasso_pos,picasso_neg
2025-07-20 22:00:00+00:00,187.3,,0.0,1433.6,36.6,0.2,263.3,6.0,,,,,,,2255.202798323592,,,,,,,2260.0929595624248,2233.25,,,21.04767468010779,20.820610398881183,6.402173935076497,42.472987114458334,171.23866666666663,385.6771428571429
2025-07-20 22:15:00+00:00,187.3,,0.0,1433.6,36.6,0.2,263.3,6.0,,,,,,,2246.3265670371816,,,,,,,2250.1827563229294,2233.25,,,20.526440566636353,20.98720500960101,7.323011099945604,51.80342854212426,51.86266666666668,382.86
2025-07-20 22:30:00+00:00,187.3,,0.0,1433.6,36.6,0.2,263.3,6.0,,,,,,,2232.8233068003055,,,,,,,2237.071862310662,2233.25,,,20.156718273972256,19.072714470224316,8.760095096143626,58.545426037489385,81.61866666666668,81.61866666666668
2025-07-20 22:45:00+00:00,187.3,,0.0,1433.6,36.6,0.2,263.3,6.0,,,,,,,2213.240481856924,,,,,,,2216.583117996866,2233.25,,,20.306812496131826,20.042558975497897,9.988106649758832,63.035887044792965,66.00333333333332,74.51
2025-07-20 23:00:00+00:00,127.7,,0.0,1437.2,36.4,0.0,260.4,6.0,,,,,,,2182.886844941876,,,,,,,2185.5779034168795,2136.25,,,20.31654778514897,19.375888059663342,10.869247559944695,59.91691793090801,47.313333333333325,46.51
2025-07-20 23:15:00+00:00,127.7,,0.0,1437.2,36.4,0.0,260.4,,,,,,,,2149.1112906373337,,,,,,,2149.887624836028,2136.25,,,19.573397740013878,19.304097372640367,10.439996771872206,54.82421865563812,86.43133333333334,86.43133333333334
2025-07-20 23:30:00+00:00,127.7,,0.0,1437.2,36.4,0.0,260.4,,,,,,,,2117.7664546269343,,,,,,,2119.93868810304,2136.25,,,19.22540180990124,20.178780366911205,9.931632399214744,50.29918012386514,399.44199999999984,399.44199999999984
2025-07-20 23:45:00+00:00,127.7,,0.0,1437.2,36.4,0.0,260.4,,,,,,,,2095.3714520465624,,,,,,,2094.58854789518,2136.25,,,18.881970027800644,18.5854534285263,8.433492718600563,46.74421442141353,78.63000000000001,78.49
2025-07-21 00:00:00+00:00,128.5,,0.0,1443.7,37.2,0.0,253.2,,,,,,,,2086.841923990424,,,,,,,2086.904542016984,2084.5,,,18.983274797597907,18.973733423682223,6.208194391800106,46.59729605423159,240.35066666666663,374.56555555555553
2025-07-21 00:15:00+00:00,128.5,,0.0,1443.7,37.2,0.0,253.2,,,,,,,,2074.0685353061695,,,,,,,2072.898750186301,2084.5,,,19.054606018576937,18.807861169414565,4.377515186805416,47.78798716766449,49.21000000000001,49.21000000000001
2025-07-21 00:30:00+00:00,128.5,,0.0,1443.7,37.2,0.0,253.2,,,,,,,,2064.2723551051445,,,,,,,2065.2099359326594,2084.5,,,18.671336602989417,19.348832337532162,2.3773855651160156,51.41614713991308,50.48000000000001,50.48000000000001
2025-07-21 00:45:00+00:00,128.5,,0.0,1443.7,37.2,0.0,253.2,,,,,,,,2059.613054972328,,,,,,,2059.6767746222836,2084.5,,,18.394354182877247,17.346246396313116,2.450216333106768,53.789437546016224,52.8,71.24133333333332
2025-07-21 01:00:00+00:00,128.0,,0.0,1445.2,38.2,0.0,249.9,,,,,,,,2063.4145531666813,,,,,,,2062.7007124204524,2102.5,,,18.614170911636474,18.716073986492443,11.209291691433533,58.20941535691479,59.34599999999999,59.34599999999999
2025-07-21 01:15:00+00:00,128.0,,0.0,1445.2,38.2,0.0,249.9,,,,,,,,2068.8130326767146,,,,,,,2071.3200061121956,2102.5,,,18.093360252228248,19.00009972619924,22.356266764887746,61.21993453735391,50.71000000000001,50.71000000000001
2025-07-21 01:30:00+00:00,128.0,,0.0,1445.2,38.2,0.0,249.9,,,,,,,,2080.1154332560313,,,,,,,2081.788595336736,2102.5,,,17.76519077693326,19.04202184156342,30.720402488239166,60.07651990231668,51.510000000000005,75.27133333333333
2025-07-21 01:45:00+00:00,128.0,,0.0,1445.2,38.2,0.0,249.9,,,,,,,,2092.9778168190614,,,,,,,2093.561382317929,2102.5,,,18.00097050232854,18.609362894194746,33.73235176357862,59.295011000647136,51.37,60.558
2025-07-21 02:00:00+00:00,137.7,,0.0,1444.8,37.4,0.0,250.2,,,,,,,,2114.0259106088797,,,,,,,2115.440572038497,2151.75,,,17.888860829427788,16.476311513924593,30.55003904191327,50.63897003719952,,46.74333333333333
2025-07-21 02:15:00+00:00,137.7,,0.0,1444.8,37.4,0.0,250.2,,,,,,,,2129.3165656625974,,,,,,,2129.114031526785,2151.75,,,17.699272848359083,16.465443605638843,20.04395835394915,37.79458236656342,,63.46600000000002
2025-07-21 02:30:00+00:00,137.7,,0.0,1444.8,37.4,0.0,250.2,,,,,,,,2143.3561330991542,,,,,,,2142.5013361992415,2151.75,,,17.404659444349836,17.895251541741697,10.929721196254063,27.606295478055742,56.029999999999994,75.65599999999999
2025-07-21 02:45:00+00:00,137.7,,0.0,1444.8,37.4,0.0,250.2,,,,,,,,2156.1744577693953,,,,,,,2157.110491951447,2151.75,,,17.296677803178337,17.628376764854035,4.053826612037686,20.195060311438045,54.07999999999999,71.07866666666669
2025-07-21 03:00:00+00:00,143.3,,0.0,1446.0,37.1,0.0,251.6,,,,,,,,2177.4614353570682,,,,,,,2181.3598849946284,2286.75,,,17.435379229913234,17.751085621599145,0.40660717086612747,11.473970674169758,119.70333333333333,24.9375
2025-07-21 03:15:00+00:00,143.3,,0.0,1446.0,37.1,0.0,251.6,,,,,,,,2197.3533328252615,,,,,,,2209.1072681885944,2286.75,,,17.625349913538376,16.854491933512648,0.0,11.692701488591691,111.11333333333333,
2025-07-21 03:30:00+00:00,143.3,,0.0,1446.0,37.1,0.0,251.6,,,,,,,,2236.0901062792077,,,,,,,2257.1464653034036,2286.75,,,17.360510681046303,17.91598529639715,0.10158575914600634,11.44035565085606,119.68599999999998,
2025-07-21 03:45:00+00:00,143.3,,0.0,1446.0,37.1,0.0,251.6,,,,,,,,2299.325765502798,,,,,,,2330.7984714005415,2286.75,,,17.723920056138738,17.805703927642092,0.10074076622656483,12.157110692111779,45.0,-5.337999999999999
2025-07-21 04:00:00+00:00,149.2,,0.0,1447.4,37.3,20.1,250.8,,,,,,,,2417.707674498949,,,,,,,2456.8977254019414,2616.0,,,18.054397584906013,16.554411969293103,0.29483538256261754,11.376764248100276,134.70266666666666,4.94
