datetime,de_forecast1_spot,sk_forecast1_spot,sk_forecast2_spot,sk_merged_spot,price_actual,de_forecast1_spot_error,sk_forecast1_spot_error,sk_forecast2_spot_error,sk_merged_spot_error,date,hour
2025-11-29 09:00:00,97.90431134,119.768844075,119.768844075,,110.1875,-12.283188659999993,9.581344075000004,9.581344075000004,,2025-11-29,9
2025-11-29 10:00:00,98.83680128750001,116.00884215,116.00884215,,104.835,-5.998198712499985,11.173842150000013,11.173842150000013,,2025-11-29,10
2025-11-29 11:00:00,95.171395905,116.23827059999999,116.23827059999999,,103.3725,-8.201104095000005,12.86577059999999,12.86577059999999,,2025-11-29,11
2025-11-29 12:00:00,93.702205595,114.46526295,114.46526295,,104.19,-10.487794405000002,10.275262949999998,10.275262949999998,,2025-11-29,12
2025-11-29 13:00:00,91.87897331,117.702211425,117.702211425,,100.725,-8.846026689999988,16.977211425000007,16.977211425000007,,2025-11-29,13
2025-11-29 14:00:00,95.926365385,132.930107675,132.930107675,,111.015,-15.088634615000004,21.915107674999987,21.915107674999987,,2025-11-29,14
2025-11-29 15:00:00,101.9097522,140.37393455,140.37393455,,123.2325,-21.322747800000002,17.14143455,17.14143455,,2025-11-29,15
2025-11-29 16:00:00,105.72057620000001,164.34939865,164.34939865,,146.615,-40.8944238,17.734398650000003,17.734398650000003,,2025-11-29,16
2025-11-29 17:00:00,105.953121875,148.116863475,148.116863475,,142.835,-36.881878125000014,5.281863474999994,5.281863474999994,,2025-11-29,17
2025-11-29 18:00:00,100.51867851,144.90187659999998,144.90187659999998,,142.0525,-41.53382149000001,2.849376599999971,2.849376599999971,,2025-11-29,18
2025-11-29 19:00:00,97.09896595250001,140.817719525,140.817719525,,139.4,-42.301034047499996,1.4177195249999954,1.4177195249999954,,2025-11-29,19
2025-11-29 20:00:00,93.6864612175,130.293612725,130.293612725,,131.7775,-38.09103878250001,-1.4838872750000007,-1.4838872750000007,,2025-11-29,20
2025-11-29 21:00:00,90.295017925,115.99653675,115.99653675,,118.1075,-27.812482075000005,-2.1109632499999975,-2.1109632499999975,,2025-11-29,21
2025-11-29 22:00:00,88.6216021575,110.172828475,110.172828475,,118.6475,-30.025897842499987,-8.47467152499999,-8.47467152499999,,2025-11-29,22
2025-11-29 23:00:00,84.032069885,97.2141455225,97.2141455225,,103.9625,-19.930430115000007,-6.748354477500001,-6.748354477500001,,2025-11-29,23
