tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price,date,imbalance_mwh,imbalance_abs_mean,imbalance_std,imbalance_min,imbalance_max,n_periods,imbalance_sign,abs_imbalance,is_deficit
2025-12-12,21,543.0,619.0,543.0,707.0,543.0,707.0,387.0,0.0,229.0,707.0,2245.0,2740.0,-495.0,0,0,0,0,0,0,114.76,169.9,83.5675,53.7875,113.3475,59.56,4,0,12,83.5675,2025-12-12,-0.4220000000000004,2.2155,3.064279523803271,-4.642,2.102,4,-1.0,0.4220000000000004,1
2025-12-12,22,293.0,169.0,269.0,169.0,0.0,532.0,851.0,0.0,229.0,169.0,1642.0,1039.0,603.0,0,0,1,0,0,1,114.5,105.7,231.395,56.2575,406.5325,350.275,4,0,12,231.395,2025-12-12,-12.398,3.9159999999999995,3.991554793143477,-7.114,1.633,4,-1.0,12.398,1
2025-12-12,23,216.0,535.0,508.0,275.0,530.0,275.0,1025.0,0.0,0.0,677.0,2279.0,1762.0,517.0,0,0,0,0,1,1,92.0,106.0,123.64875,23.3475,223.95,200.6025,4,0,12,123.64875,2025-12-12,2.1370000000000005,1.33025,1.6476745987400951,-1.465,2.157,4,1.0,2.1370000000000005,0
2025-12-13,0,295.0,498.0,716.0,0.0,1099.0,159.0,564.0,296.0,0.0,531.0,2674.0,1484.0,1190.0,0,0,0,0,1,1,110.0,31.5,114.0175,26.0375,201.9975,175.95999999999998,5,1,12,114.0175,2025-12-13,29.224,7.306000000000001,1.6705881199944725,5.442,9.505,4,1.0,29.224,0
2025-12-13,1,288.0,480.0,616.0,95.0,898.0,447.0,613.0,186.0,0.0,480.0,2415.0,1688.0,727.0,0,0,0,0,1,1,99.69,74.4,118.3625,1.0,235.725,234.725,5,1,12,118.3625,2025-12-13,59.818,14.9545,10.847221472186629,8.257,31.128,4,1.0,59.818,0
2025-12-13,2,371.0,325.0,746.0,31.0,764.0,602.0,747.0,59.0,4.0,325.0,2632.0,1342.0,1290.0,0,0,0,0,0,0,89.8,36.9,175.5,17.5,333.5,316.0,5,1,12,175.5,2025-12-13,-3.1770000000000005,2.10475,2.475005235684698,-3.368,1.64,4,-1.0,3.1770000000000005,1
2025-12-13,3,772.0,97.0,954.0,97.0,694.0,870.0,964.0,97.0,244.0,97.0,3628.0,1258.0,2370.0,0,0,0,0,0,0,86.7,57.2,163.71,12.5,314.92,302.42,5,1,12,163.71,2025-12-13,-41.268,10.317,1.9225835049051405,-12.883,-8.312,4,-1.0,41.268,1
2025-12-13,4,822.0,1.0,782.0,1.0,542.0,857.0,1072.0,1.0,359.0,1.0,3577.0,861.0,2716.0,0,0,0,0,0,0,82.69,71.2,103.375,1.0,205.75,204.75,5,1,12,103.375,2025-12-13,-26.204,6.551,2.2094748999102327,-8.833,-4.309,4,-1.0,26.204,1
2025-12-13,5,35.0,337.0,642.0,22.0,867.0,313.0,377.0,33.0,32.0,337.0,1953.0,1042.0,911.0,0,0,0,0,0,0,83.9,104.8,63.44875,1.0,125.8975,124.8975,5,1,12,63.44875,2025-12-13,0.30600000000000005,3.021,3.5163238853476892,-3.447,3.301,4,1.0,0.30600000000000005,0
2025-12-13,6,479.0,594.0,447.0,600.0,677.0,600.0,586.0,147.0,0.0,788.0,2189.0,2729.0,-540.0,0,0,0,0,1,1,94.94,52.6,80.15,20.25,140.05,119.8,5,1,12,80.15,2025-12-13,-11.092,2.773,2.078261773694546,-5.548,-0.524,4,-1.0,11.092,1
2025-12-13,7,320.0,830.0,571.0,88.0,1420.0,88.0,516.0,478.0,0.0,913.0,2827.0,2397.0,430.0,0,0,0,0,1,1,100.0,82.4,118.86375,33.23,204.4975,171.2675,5,1,12,118.86375,2025-12-13,-6.765,2.53225,2.2802159802673665,-3.102,1.682,4,-1.0,6.765,1
2025-12-13,8,404.0,432.0,373.0,452.0,509.0,452.0,479.0,233.0,0.0,769.0,1765.0,2338.0,-573.0,0,0,0,0,1,1,107.62,77.7,103.75625,54.765,152.7475,97.9825,5,1,12,103.75625,2025-12-13,22.849999999999998,5.7125,4.133526702466067,0.748,10.84,4,1.0,22.849999999999998,0
2025-12-13,9,523.0,212.0,167.0,664.0,238.0,619.0,229.0,76.0,0.0,664.0,1157.0,2235.0,-1078.0,0,0,0,0,1,1,106.36,79.7,91.9575,51.7575,132.1575,80.4,5,1,12,91.9575,2025-12-13,8.811,2.20275,1.1038663490960607,0.672,3.022,4,1.0,8.811,0
2025-12-13,10,513.0,57.0,335.0,204.0,431.0,765.0,438.0,57.0,0.0,204.0,1717.0,1287.0,430.0,0,0,0,0,1,1,109.9,48.6,97.82,56.66,138.98000000000002,82.32,5,1,12,97.82,2025-12-13,9.024000000000001,2.2560000000000002,1.6415303835141155,0.131,3.668,4,1.0,9.024000000000001,0
2025-12-13,11,435.0,395.0,595.0,174.0,813.0,909.0,759.0,0.0,0.0,395.0,2602.0,1873.0,729.0,0,0,0,0,1,1,112.5,78.6,137.8625,86.5025,189.2225,102.72,5,1,12,137.8625,2025-12-13,-14.379,3.5947500000000003,0.6927300460256267,-4.239,-2.617,4,-1.0,14.379,1
2025-12-13,12,220.0,237.0,384.0,2.0,449.0,717.0,629.0,0.0,0.0,237.0,1682.0,1193.0,489.0,0,0,0,0,1,1,124.98,193.1,117.65125,97.0125,138.29,41.2775,5,1,12,117.65125,2025-12-13,-25.808,6.452,1.9482910460195626,-7.635,-3.546,4,-1.0,25.808,1
2025-12-13,13,142.0,391.0,400.0,0.0,265.0,644.0,622.0,0.0,0.0,391.0,1429.0,1426.0,3.0,0,0,0,0,1,1,102.38,151.0,100.745,63.370000000000005,138.12,74.75,5,1,12,100.745,2025-12-13,-30.219,7.55475,3.7695339566052457,-12.972,-4.588,4,-1.0,30.219,1
2025-12-13,14,239.0,359.0,500.0,0.0,354.0,248.0,27.0,146.0,0.0,359.0,1120.0,1112.0,8.0,0,0,0,0,1,1,100.0,152.4,111.56625,85.76,137.3725,51.6125,5,1,12,111.56625,2025-12-13,-32.473,8.11825,2.9480475318420494,-11.626,-4.48,4,-1.0,32.473,1
2025-12-13,15,552.0,48.0,596.0,0.0,430.0,327.0,0.0,108.0,0.0,108.0,1578.0,591.0,987.0,0,0,0,1,1,2,117.97,115.2,127.38375,92.945,161.8225,68.8775,5,1,12,127.38375,2025-12-13,-11.917,2.97925,2.0917415989234107,-6.074,-1.527,4,-1.0,11.917,1
2025-12-13,16,225.0,187.0,518.0,43.0,1056.0,43.0,0.0,325.0,0.0,334.0,1799.0,932.0,867.0,0,0,0,1,1,2,129.99,90.9,122.22,89.3275,155.1125,65.785,5,1,12,122.22,2025-12-13,-47.521,11.88025,3.8521626285330504,-16.743,-7.318,4,-1.0,47.521,1
2025-12-13,17,115.0,191.0,126.0,9.0,642.0,9.0,0.0,72.0,0.0,191.0,883.0,472.0,411.0,0,0,0,1,1,2,123.82,66.3,111.24875,76.265,146.2325,69.96749999999999,5,1,12,111.24875,2025-12-13,-29.37,7.3425,6.083348228292268,-14.271,-0.994,4,-1.0,29.37,1
2025-12-13,18,46.0,253.0,34.0,253.0,812.0,8.0,0.0,8.0,0.0,253.0,892.0,775.0,117.0,0,0,0,1,1,2,128.85,88.3,110.00375,76.2675,143.74,67.47250000000001,5,1,12,110.00375,2025-12-13,-32.961,8.24025,2.9111116290287917,-11.709,-4.62,4,-1.0,32.961,1
2025-12-13,19,176.0,212.0,176.0,19.0,748.0,0.0,0.0,153.0,0.0,212.0,1100.0,596.0,504.0,0,0,0,1,1,2,112.5,131.0,88.7525,27.520000000000003,149.985,122.465,5,1,12,88.7525,2025-12-13,-18.747,6.492249999999999,8.193974142624567,-14.943,3.304,4,-1.0,18.747,1
2025-12-13,20,99.0,394.0,75.0,0.0,596.0,0.0,201.0,210.0,0.0,445.0,971.0,1049.0,-78.0,0,0,0,0,1,1,102.4,108.0,111.2475,72.5125,149.9825,77.47,5,1,12,111.2475,2025-12-13,6.438000000000001,2.056,1.9922370173584605,-0.893,3.962,4,1.0,6.438000000000001,0
2025-12-13,21,220.0,265.0,198.0,0.0,733.0,0.0,185.0,0.0,0.0,328.0,1336.0,593.0,743.0,0,0,0,0,1,1,100.0,79.7,87.9175,57.52,118.315,60.795,5,1,12,87.9175,2025-12-13,-15.347999999999999,3.8369999999999997,2.473833058231699,-7.441,-2.119,4,-1.0,15.347999999999999,1
2025-12-13,22,319.0,419.0,399.0,0.0,1026.0,0.0,319.0,53.0,0.0,427.0,2063.0,899.0,1164.0,0,0,0,0,1,1,90.01,57.8,113.24625,76.5125,149.98,73.46749999999999,5,1,12,113.24625,2025-12-13,-22.418,5.6045,3.090394742855137,-8.451,-1.753,4,-1.0,22.418,1
