tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price
2026-02-10,21,0.0,260.0,0.0,41.0,1474.0,0.0,0.0,524.0,0.0,260.0,1474.0,1085.0,389.0,1,1,0,1,1,4,134.94,84.0,128.92000000000002,120.38,137.46,17.080000000000005,1,0,2,128.92000000000002
2026-02-10,22,0.0,278.0,1.0,0.0,1671.0,0.0,437.0,0.0,0.0,278.0,2109.0,556.0,1553.0,1,0,0,0,1,2,103.0,39.3,123.60374999999999,111.61,135.5975,23.9875,1,0,2,123.60374999999999
2026-02-10,23,225.0,54.0,225.0,54.0,2030.0,0.0,38.0,161.0,0.0,222.0,2518.0,491.0,2027.0,0,0,0,0,1,1,103.81,96.5,100.64125,69.41,131.8725,62.46249999999999,1,0,2,100.64125
2026-02-11,0,187.0,2152.0,187.0,761.0,314.0,579.0,1241.0,0.0,0.0,1400.0,1929.0,4892.0,-2963.0,0,0,0,0,1,1,106.81,46.4,150.13375,76.5175,223.75,147.23250000000002,2,0,2,150.13375
2026-02-11,1,640.0,2125.0,640.0,940.0,941.0,828.0,1460.0,0.0,0.0,2125.0,3681.0,6018.0,-2337.0,0,0,0,0,1,1,94.13,57.5,109.33500000000001,37.8275,180.8425,143.015,2,0,2,109.33500000000001
2026-02-11,2,767.0,2243.0,933.0,777.0,1398.0,777.0,1550.0,0.0,0.0,2154.0,4648.0,5951.0,-1303.0,0,0,0,0,1,1,97.23,0.1,217.02499999999998,74.52250000000001,359.52750000000003,285.005,2,0,2,217.02499999999998
2026-02-11,3,756.0,2393.0,1235.0,588.0,1508.0,588.0,1521.0,0.0,0.0,2143.0,5020.0,5712.0,-692.0,0,0,0,0,1,1,97.0,53.9,199.28375,82.295,316.27250000000004,233.97750000000002,2,0,2,199.28375
2026-02-11,4,820.0,2547.0,965.0,1062.0,1183.0,1062.0,1710.0,0.0,0.0,2547.0,4678.0,7218.0,-2540.0,0,0,0,0,1,1,89.99,64.1,237.47125,84.695,390.2475,305.5525,2,0,2,237.47125
2026-02-11,5,0.0,1636.0,0.0,898.0,486.0,208.0,717.0,0.0,0.0,1636.0,1203.0,4378.0,-3175.0,1,1,0,0,1,3,110.17,4.0,102.92,1.0,204.84,203.84,2,0,2,102.92
2026-02-11,6,35.0,737.0,35.0,737.0,1079.0,294.0,205.0,0.0,0.0,737.0,1354.0,2505.0,-1151.0,0,0,0,0,1,1,130.0,73.6,262.39125,100.2875,424.495,324.2075,2,0,2,262.39125
2026-02-11,7,0.0,769.0,0.0,340.0,259.0,75.0,144.0,0.0,0.0,769.0,403.0,1953.0,-1550.0,1,1,0,0,1,3,138.42,75.9,145.835,103.84,187.83,83.99000000000001,2,0,2,145.835
2026-02-11,8,933.0,1751.0,991.0,1008.0,1104.0,1008.0,448.0,169.0,0.0,1751.0,3476.0,5687.0,-2211.0,0,0,0,0,1,1,150.0,90.3,139.36874999999998,103.27,175.4675,72.1975,2,0,2,139.36874999999998
2026-02-11,9,1094.0,1507.0,1094.0,1252.0,1094.0,1141.0,0.0,191.0,0.0,1507.0,3282.0,5598.0,-2316.0,0,0,0,1,1,2,131.0,83.7,118.17875000000001,96.91499999999999,139.4425,42.527499999999996,2,0,2,118.17875000000001
2026-02-11,10,580.0,1624.0,580.0,1222.0,1009.0,847.0,0.0,76.0,0.0,1624.0,2169.0,5393.0,-3224.0,0,0,0,1,1,2,136.98,150.5,125.575,93.85499999999999,157.29500000000002,63.440000000000005,2,0,2,125.575
2026-02-11,11,509.0,2788.0,509.0,2085.0,1188.0,1467.0,0.0,174.0,0.0,2978.0,2206.0,9492.0,-7286.0,0,0,0,1,1,2,146.99,199.5,177.94125,115.7475,240.135,124.3875,2,0,2,177.94125
2026-02-11,12,529.0,2430.0,616.0,1163.0,996.0,1163.0,0.0,100.0,0.0,2430.0,2141.0,7286.0,-5145.0,0,0,0,1,1,2,139.78,190.4,121.7475,97.5525,145.9425,48.39,2,0,2,121.7475
2026-02-11,13,0.0,2060.0,196.0,1047.0,639.0,1094.0,500.0,0.0,0.0,2367.0,1335.0,6568.0,-5233.0,1,0,0,0,1,2,138.88,129.1,114.94624999999999,79.73750000000001,150.155,70.41749999999999,2,0,2,114.94624999999999
2026-02-11,14,0.0,1322.0,0.0,40.0,440.0,40.0,0.0,228.0,0.0,1322.0,440.0,2952.0,-2512.0,1,1,0,1,1,4,124.0,241.0,90.18625,47.035,133.3375,86.30250000000001,2,0,2,90.18625
2026-02-11,15,88.0,614.0,25.0,357.0,71.0,347.0,131.0,0.0,0.0,936.0,315.0,2254.0,-1939.0,0,0,0,0,1,1,132.0,275.0,111.36125000000001,85.69,137.0325,51.3425,2,0,2,111.36125000000001
2026-02-11,16,0.0,643.0,0.0,270.0,140.0,158.0,71.0,0.0,0.0,643.0,211.0,1714.0,-1503.0,1,1,0,0,1,3,143.99,166.7,109.86,85.28,134.44,49.16,2,0,2,109.86
2026-02-11,17,101.0,478.0,101.0,478.0,1540.0,133.0,203.0,0.0,57.0,478.0,2002.0,1567.0,435.0,0,0,0,0,0,0,145.0,116.5,133.14749999999998,127.0475,139.2475,12.2,2,0,2,133.14749999999998
2026-02-11,18,52.0,124.0,52.0,124.0,97.0,215.0,0.0,1.0,52.0,124.0,253.0,588.0,-335.0,0,0,0,1,0,1,136.26,157.8,113.97749999999999,70.225,157.73,87.505,2,0,2,113.97749999999999
2026-02-11,19,104.0,706.0,104.0,706.0,1735.0,238.0,382.0,0.0,104.0,706.0,2429.0,2356.0,73.0,0,0,0,0,0,0,134.99,167.0,132.50125,110.005,154.9975,44.99249999999999,2,0,2,132.50125
2026-02-11,20,14.0,424.0,0.0,432.0,1167.0,214.0,362.0,0.0,0.0,432.0,1543.0,1502.0,41.0,0,1,0,0,1,2,127.98,239.2,169.22375,112.405,226.0425,113.63749999999999,2,0,2,169.22375
2026-02-11,21,172.0,45.0,0.0,271.0,128.0,226.0,38.0,0.0,0.0,271.0,338.0,813.0,-475.0,0,1,0,0,1,2,162.07,241.1,193.845,142.5325,245.1575,102.625,2,0,2,193.845
2026-02-11,22,169.0,51.0,0.0,283.0,158.0,327.0,403.0,0.0,0.0,283.0,730.0,944.0,-214.0,0,1,0,0,1,2,139.95,167.3,135.53625,95.425,175.6475,80.22250000000001,2,0,2,135.53625
2026-02-11,23,0.0,461.0,0.0,461.0,465.0,950.0,411.0,0.0,0.0,461.0,876.0,2333.0,-1457.0,1,1,0,0,1,3,119.48,114.9,170.76624999999999,112.5075,229.025,116.5175,2,0,2,170.76624999999999
2026-02-12,0,136.0,1574.0,146.0,188.0,428.0,1099.0,1242.0,0.0,0.0,1574.0,1952.0,4435.0,-2483.0,0,0,0,0,1,1,105.0,60.1,164.39375,57.2375,271.55,214.3125,3,0,2,164.39375
2026-02-12,1,353.0,1862.0,353.0,2877.0,501.0,1782.0,1949.0,0.0,0.0,3147.0,3156.0,9668.0,-6512.0,0,0,0,0,1,1,102.0,75.9,249.50750000000002,34.55,464.46500000000003,429.915,3,0,2,249.50750000000002
2026-02-12,2,209.0,1650.0,209.0,2847.0,481.0,1911.0,1441.0,0.0,0.0,3074.0,2340.0,9482.0,-7142.0,0,0,0,0,1,1,95.0,81.9,274.55625,10.0,539.1125,529.1125,3,0,2,274.55625
