date,bess_net,spec_net,bess_gross,spec_gross,bess_enh_gross,bess_enh_net,portfolio_gross,portfolio_net,portfolio_enh_gross,portfolio_enh_net,cum_bess_gross,cum_spec_gross,cum_portfolio_gross,cum_bess_net,cum_spec_net,cum_portfolio_net,cum_bess_enh_gross,cum_portfolio_enh_gross,month
2025-11-10,-3.7348385808807336,-308.31000000000006,214.51749999999996,-284.31000000000006,237.40249999999992,19.15016141911923,-69.7925000000001,-312.04483858088076,-46.90750000000014,-289.15983858088083,87747.56750000003,27310.575,115058.14250000002,19216.333185603457,20854.575,40070.90818560347,95045.28750000008,122355.86249999996,2025-11
2025-11-11,-61.904838580880636,-155.74,156.34750000000005,-131.74,159.0075,-59.244838580880696,24.607500000000044,-217.64483858088064,27.267499999999984,-214.9848385808807,87903.91500000004,27178.835,115082.75000000001,19154.428347022575,20698.835,39853.263347022585,95204.29500000009,122383.12999999996,2025-11
2025-11-12,-81.49983858088069,-6.44999999999996,136.7525,17.55000000000004,130.0725,-88.1798385808807,154.30250000000004,-87.94983858088065,147.62250000000003,-94.62983858088066,88040.66750000004,27196.385,115237.05250000002,19072.928508441695,20692.385,39765.3135084417,95334.36750000008,122530.75249999996,2025-11
2025-11-13,-31.727338580880684,45.579999999999984,186.525,69.57999999999998,194.545,-23.707338580880702,256.105,13.8526614191193,264.125,21.872661419119282,88227.19250000003,27265.965,115493.15750000002,19041.201169860815,20737.965,39779.16616986082,95528.91250000008,122794.87749999996,2025-11
2025-11-14,-41.8673385808807,372.24,176.385,396.24,125.17500000000004,-93.07733858088065,572.625,330.3726614191193,521.4150000000001,279.16266141911933,88403.57750000003,27662.205,116065.78250000002,18999.333831279935,21110.205,40109.53883127994,95654.08750000008,123316.29249999995,2025-11
2025-11-15,-109.75233858088069,573.95,108.5,597.95,84.35,-133.9023385808807,706.45,464.19766141911936,682.3000000000001,440.0476614191193,88512.07750000003,28260.155000000002,116772.23250000001,18889.581492699053,21684.155000000002,40573.73649269906,95738.43750000009,123998.59249999996,2025-11
2025-11-16,-147.9123385808807,1008.02,70.34,1032.02,74.435,-143.8173385808807,1102.36,860.1076614191193,1106.455,864.2026614191193,88582.41750000003,29292.175000000003,117874.59250000001,18741.66915411817,22692.175000000003,41433.84415411818,95812.87250000008,125105.04749999996,2025-11
2025-11-17,-124.57983858088069,236.70999999999998,93.6725,260.71,75.36250000000001,-142.88983858088068,354.3825,112.13016141911929,336.0725,93.8201614191193,88676.09000000003,29552.885000000002,118228.97500000002,18617.08931553729,22928.885000000002,41545.9743155373,95888.23500000009,125441.11999999995,2025-11
2025-11-18,-19.757338580880685,428.52,198.495,439.52,179.83249999999995,-38.419838580880736,638.015,408.7626614191193,619.3525,390.1001614191192,88874.58500000002,29992.405000000002,118866.99000000002,18597.33197695641,23357.405000000002,41954.73697695642,96068.06750000009,126060.47249999995,2025-11
2025-11-19,26.355161419119298,-45.940000000000026,244.6075,-21.940000000000023,257.115,38.86266141911932,222.66749999999996,-19.584838580880728,235.17499999999998,-7.077338580880706,89119.19250000002,29970.465000000004,119089.65750000002,18623.68713837553,23311.465000000004,41935.15213837554,96325.1825000001,126295.64749999995,2025-11
2025-11-20,-7.087338580880697,919.38,211.165,943.38,211.0025,-7.2498385808806916,1154.545,912.2926614191193,1154.3825,912.1301614191193,89330.35750000001,30913.845000000005,120244.20250000001,18616.59979979465,24230.845000000005,42847.444799794655,96536.1850000001,127450.02999999996,2025-11
2025-11-21,191.4976614191193,928.83,409.75,952.83,418.5225,200.2701614191193,1362.58,1120.3276614191193,1371.3525,1129.1001614191193,89740.10750000001,31866.675000000007,121606.78250000002,18808.09746121377,25159.675000000007,43967.772461213775,96954.7075000001,128821.38249999995,2025-11
2025-11-22,-68.94983858088071,463.78,149.30249999999998,487.78,159.05749999999998,-59.19483858088071,637.0825,394.83016141911924,646.8375,404.58516141911923,89889.41000000002,32354.455000000005,122243.86500000002,18739.14762263289,25623.455000000005,44362.6026226329,97113.7650000001,129468.21999999994,2025-11
2025-11-23,-66.41233858088066,751.4499999999999,151.84000000000003,775.4499999999999,176.77250000000004,-41.47983858088065,927.29,685.0376614191193,952.2225,709.9701614191192,90041.25000000001,33129.905000000006,123171.15500000001,18672.735284052007,26374.905000000006,45047.64028405202,97290.53750000011,130420.44249999995,2025-11
2025-11-24,66.7176614191194,1644.0,284.9700000000001,1668.0,346.3325,128.0801614191193,1952.97,1710.7176614191194,2014.3325,1772.0801614191193,90326.22000000002,34797.905000000006,125124.12500000001,18739.452945471126,28018.905000000006,46758.357945471136,97636.87000000011,132434.77499999994,2025-11
2025-11-25,344.23516141911927,2470.54,562.4875,2494.54,508.405,290.1526614191193,3057.0275,2814.7751614191193,3002.9449999999997,2760.6926614191193,90888.70750000002,37292.44500000001,128181.15250000001,19083.688106890244,30489.445000000007,49573.13310689026,98145.27500000011,135437.71999999994,2025-11
2025-11-26,223.8176614191193,580.43,442.07,604.43,442.07,223.8176614191193,1046.5,804.2476614191193,1046.5,804.2476614191193,91330.77750000003,37896.87500000001,129227.65250000001,19307.505768309362,31069.875000000007,50377.38076830938,98587.34500000012,136484.21999999994,2025-11
2025-11-27,22.887661419119297,-1314.39,241.14,-1290.39,234.9125,16.660161419119305,-1049.25,-1291.5023385808809,-1055.4775000000002,-1297.7298385808808,91571.91750000003,36606.48500000001,128178.40250000001,19330.39342972848,29755.485000000008,49085.878429728495,98822.25750000012,135428.74249999993,2025-11
2025-11-28,-32.414838580880684,1484.76,185.8375,1508.76,197.69,-20.56233858088069,1694.5975,1452.3451614191192,1706.45,1464.1976614191194,91757.75500000002,38115.24500000001,129873.00000000001,19297.9785911476,31240.245000000006,50538.22359114762,99019.94750000013,137135.19249999995,2025-11
2025-11-29,-112.69483858088066,760.2,105.55750000000003,784.2,108.4125,-109.8398385808807,889.7575,647.5051614191194,892.6125000000001,650.3601614191193,91863.31250000001,38899.44500000001,130762.75750000002,19185.28375256672,32000.445000000007,51185.728752566734,99128.36000000013,138027.80499999993,2025-11
2025-11-30,-139.44983858088068,258.58000000000004,78.80250000000002,282.58000000000004,75.84500000000001,-142.40733858088066,361.38250000000005,119.13016141911936,358.42500000000007,116.17266141911938,91942.11500000002,39182.02500000001,131124.14,19045.83391398584,32259.02500000001,51304.85891398585,99204.20500000013,138386.22999999992,2025-11
2025-12-01,104.78766141911933,981.19,323.04,1005.19,340.09250000000003,121.84016141911934,1328.23,1085.9776614191194,1345.2825,1103.0301614191194,92265.15500000001,40187.21500000001,132452.37000000002,19150.62157540496,33240.21500000001,52390.836575404974,99544.29750000013,139731.51249999992,2025-12
2025-12-02,28.480161419119298,860.255,246.7325,884.255,252.28500000000005,34.032661419119364,1130.9875,888.7351614191193,1136.54,894.2876614191193,92511.88750000001,41071.47000000001,133583.3575,19179.10173682408,34100.47000000001,53279.571736824095,99796.58250000014,140868.05249999993,2025-12
2025-12-03,253.0951614191194,851.17,471.3475000000001,875.17,483.55000000000007,265.2976614191194,1346.5175,1104.2651614191193,1358.72,1116.4676614191194,92983.23500000002,41946.64000000001,134929.875,19432.196898243197,34951.64000000001,54383.836898243215,100280.13250000014,142226.77249999993,2025-12
2025-12-04,-51.16733858088065,517.655,167.08500000000004,541.655,165.59500000000003,-52.65733858088066,708.74,466.4876614191193,707.25,464.9976614191193,93150.32000000002,42488.295000000006,135638.615,19381.02955966232,35469.295000000006,54850.32455966233,100445.72750000014,142934.02249999993,2025-12
2025-12-05,-39.33733858088067,452.5,178.91500000000002,476.5,181.32750000000004,-36.924838580880646,655.415,413.16266141911933,657.8275000000001,415.57516141911935,93329.23500000002,42964.795000000006,136294.03,19341.692221081437,35921.795000000006,55263.48722108145,100627.05500000014,143591.84999999995,2025-12
2025-12-06,-134.8023385808807,1268.85,83.45,1292.85,100.005,-118.2473385808807,1376.3,1134.0476614191193,1392.855,1150.6026614191192,93412.68500000001,44257.645000000004,137670.33,19206.889882500556,37190.645000000004,56397.53488250057,100727.06000000014,144984.70499999996,2025-12
2025-12-07,-153.38233858088068,761.34,64.86999999999999,785.34,53.4275,-164.82483858088068,850.21,607.9576614191194,838.7675,596.5151614191193,93477.55500000001,45042.985,138520.53999999998,19053.507543919677,37951.985,57005.49254391969,100780.48750000015,145823.47249999995,2025-12
2025-12-08,-108.96983858088069,425.13,109.2825,449.13,104.75999999999996,-113.49233858088073,558.4125,316.1601614191193,553.89,311.63766141911924,93586.83750000001,45492.115,139078.95249999998,18944.537705338797,38377.115,57321.652705338805,100885.24750000014,146377.36249999996,2025-12
2025-12-09,-74.88483858088065,354.235,143.36750000000004,378.235,144.69500000000002,-73.55733858088067,521.6025000000001,279.35016141911933,522.9300000000001,280.6776614191193,93730.205,45870.35,139600.555,18869.652866757915,38731.35,57601.002866757924,101029.94250000015,146900.29249999995,2025-12
2025-12-10,-120.8898385808807,587.285,97.36249999999998,611.285,101.665,-116.58733858088068,708.6474999999999,466.3951614191193,712.9499999999999,470.6976614191193,93827.5675,46481.635,140309.20249999998,18748.763028177033,39318.635,58067.39802817704,101131.60750000014,147613.24249999996,2025-12
2025-12-11,-130.20483858088073,-170.98000000000005,88.04749999999996,-146.98000000000005,87.04249999999996,-131.20983858088073,-58.93250000000009,-301.18483858088075,-59.937500000000085,-302.18983858088075,93915.615,46334.655,140250.27,18618.55818959615,39147.655,57766.213189596165,101218.65000000014,147553.30499999996,2025-12
2025-12-12,-101.20733858088067,-0.1100000000000314,117.04500000000002,23.88999999999997,138.70000000000005,-79.55233858088064,140.93499999999997,-101.3173385808807,162.59,-79.66233858088067,94032.66,46358.545,140391.205,18517.35085101527,39147.545,57664.89585101528,101357.35000000014,147715.89499999996,2025-12
2025-12-13,-138.4673385808807,-87.13,79.785,-63.13,80.61249999999998,-137.6398385808807,16.654999999999994,-225.5973385808807,17.48249999999998,-224.7698385808807,94112.445,46295.415,140407.86,18378.88351243439,39060.415,57439.2985124344,101437.96250000014,147733.37749999997,2025-12
2025-12-14,-149.01233858088068,335.04,69.24000000000002,359.04,56.340000000000046,-161.91233858088066,428.28000000000003,186.02766141911934,415.38000000000005,173.12766141911936,94181.68500000001,46654.455,140836.13999999998,18229.87117385351,39395.455,57625.326173853515,101494.30250000014,148148.75749999998,2025-12
2025-12-15,-103.89483858088069,325.7399999999999,114.3575,349.7399999999999,159.67999999999995,-58.57233858088074,464.0974999999999,221.84516141911922,509.41999999999985,267.16766141911916,94296.04250000001,47004.195,141300.2375,18125.97633527263,39721.195,57847.17133527264,101653.98250000013,148658.1775,2025-12
2025-12-16,-29.404838580880636,526.64,188.84750000000005,550.64,208.23250000000004,-10.019838580880645,739.4875000000001,497.2351614191193,758.8725000000001,516.6201614191193,94484.89000000001,47554.835,142039.72499999998,18096.571496691748,40247.835,58344.40649669176,101862.21500000013,149417.05,2025-12
2025-12-17,-88.92483858088076,231.39999999999995,129.32749999999993,255.39999999999995,140.14499999999992,-78.10733858088076,384.72749999999985,142.4751614191192,395.54499999999985,153.29266141911918,94614.21750000001,47810.235,142424.45249999998,18007.646658110865,40479.235,58486.88165811088,102002.36000000013,149812.595,2025-12
2025-12-18,-14.477338580880684,244.87,203.775,268.87,193.04,-25.212338580880697,472.645,230.39266141911932,461.90999999999997,219.6576614191193,94817.99250000001,48079.105,142897.09749999997,17993.169319529985,40724.105,58717.27431953,102195.40000000013,150274.505,2025-12
2025-12-19,-113.4023385808807,320.04,104.85,331.04,93.1125,-125.13983858088069,435.89,206.63766141911933,424.15250000000003,194.90016141911934,94922.84250000001,48410.145000000004,143332.9875,17879.766980949105,41044.145000000004,58923.91198094912,102288.51250000013,150698.6575,2025-12
2025-12-20,-148.4973385808807,290.77,69.75500000000001,314.77,78.17000000000003,-140.08233858088067,384.525,142.2726614191193,392.94,150.6876614191193,94992.59750000002,48724.915,143717.51249999998,17731.269642368225,41334.915,59066.18464236824,102366.68250000013,151091.5975,2025-12
2025-12-21,-146.2423385808807,91.25000000000004,72.00999999999999,115.25000000000004,69.88499999999999,-148.3673385808807,187.26000000000005,-54.992338580880656,185.13500000000005,-57.117338580880656,95064.60750000001,48840.165,143904.7725,17585.027303787345,41426.165,59011.19230378736,102436.56750000012,151276.7325,2025-12
2025-12-22,-128.2723385808807,246.51,89.97999999999999,265.51,109.4225,-108.82983858088069,355.49,118.23766141911929,374.9325,137.68016141911932,95154.58750000001,49105.675,144260.26249999998,17456.754965206463,41672.675,59129.42996520647,102545.99000000012,151651.665,2025-12
2025-12-23,-140.00983858088068,391.53,78.24249999999999,415.53,46.86500000000001,-171.38733858088068,493.7725,251.5201614191193,462.395,220.1426614191193,95232.83,49521.205,144754.03499999997,17316.74512662558,42064.205,59380.95012662559,102592.85500000013,152114.06,2025-12
2025-12-24,-143.38983858088068,390.815,74.86250000000003,414.815,72.61999999999998,-145.6323385808807,489.6775,247.42516141911932,487.43499999999995,245.18266141911928,95307.6925,49936.020000000004,145243.71249999997,17173.355288044702,42455.020000000004,59628.37528804471,102665.47500000012,152601.495,2025-12
2025-12-25,-152.23483858088068,365.195,66.01750000000001,389.195,43.61250000000001,-174.63983858088068,455.2125,212.96016141911932,432.8075,190.55516141911932,95373.71,50325.215000000004,145698.92499999996,17021.120449463822,42820.215000000004,59841.335449463826,102709.08750000013,153034.3025,2025-12
2025-12-26,-151.9098385808807,-20.079999999999984,66.3425,3.920000000000014,79.16999999999999,-139.0823385808807,70.26250000000002,-171.98983858088067,83.09,-159.1623385808807,95440.0525,50329.135,145769.18749999997,16869.210610882943,42800.135,59669.34561088295,102788.25750000012,153117.3925,2025-12
2025-12-27,-119.92983858088071,-348.32,98.32249999999998,-324.32,100.45,-117.80233858088069,-225.9975,-468.2498385808807,-223.87,-466.1223385808807,95538.375,50004.815,145543.18999999997,16749.280772302063,42451.815,59201.09577230207,102888.70750000012,152893.5225,2025-12
2025-12-28,-142.1998385808807,232.18,76.05249999999998,256.18,80.73749999999998,-137.5148385808807,332.23249999999996,89.9801614191193,336.9175,94.6651614191193,95614.4275,50260.995,145875.4225,16607.080933721183,42683.995,59291.075933721186,102969.44500000012,153230.44,2025-12
2025-12-29,-127.1998385808807,-505.13000000000005,91.0525,-481.13000000000005,82.35250000000002,-135.89983858088067,-390.07750000000004,-632.3298385808807,-398.77750000000003,-641.0298385808808,95705.48000000001,49779.865000000005,145485.34499999997,16479.881095140303,42178.865000000005,58658.746095140305,103051.79750000012,152831.6625,2025-12
2025-12-30,-125.18983858088073,-198.77999999999997,93.06249999999996,-174.77999999999997,86.02,-132.2323385808807,-81.71750000000002,-323.9698385808807,-88.75999999999998,-331.0123385808807,95798.54250000001,49605.08500000001,145403.62749999997,16354.691256559423,41980.08500000001,58334.776256559424,103137.81750000012,152742.9025,2025-12
2025-12-31,-130.71233858088067,85.33999999999996,87.54000000000002,109.33999999999996,104.61,-113.64233858088069,196.88,-45.37233858088071,213.94999999999996,-28.30233858088073,95886.0825,49714.425,145600.50749999998,16223.978917978542,42065.425,58289.40391797855,103242.42750000012,152956.8525,2025-12
