datetime,hour,day_of_week,is_weekend,imbalance,baseline_12,baseline_9,error_12,error_9,abs_error_12,abs_error_9,imb_magnitude,proxy_lag1,proxy_rolling_mean4,proxy_rolling_std4
2025-11-13 04:45:00,4,3,0,-2.24,-4.954,-1.7766000000000002,-2.7139999999999995,0.46340000000000003,2.7139999999999995,0.46340000000000003,2-5,-5.2334499999999995,-7.930249999999996,2.026017670209543
2025-11-13 05:00:00,5,3,0,-5.016,-8.36375,-2.21535,-3.3477499999999996,2.80065,3.3477499999999996,2.80065,5-10,-1.4590999999999998,-6.022762499999995,3.572728809181969
2025-11-13 05:15:00,5,3,0,-7.636,-8.50725,-6.05665,-0.8712500000000007,1.5793499999999998,0.8712500000000007,1.5793499999999998,5-10,-4.941799999999999,-4.802999999999995,2.5222280147388094
2025-11-13 05:30:00,5,3,0,-4.119,-1.48925,-0.5116499999999999,2.6297499999999996,3.60735,2.6297499999999996,3.60735,2-5,-8.960249999999998,-5.148649999999995,3.065455470507891
2025-11-13 05:45:00,5,3,0,-5.673,-7.75675,-6.485550000000001,-2.08375,-0.8125500000000008,2.08375,0.8125500000000008,5-10,-2.7366,-4.524437499999994,3.288529605911759
2025-11-13 06:00:00,6,3,0,-7.316,-18.465,-7.5304,-11.149000000000001,-0.21440000000000037,11.149000000000001,0.21440000000000037,5-10,-3.4676,-5.0265624999999945,2.7782113164693514
2025-11-13 06:15:00,6,3,0,-5.672,-2.75775,0.42384999999999995,2.9142499999999996,6.0958499999999995,2.9142499999999996,6.0958499999999995,5-10,-10.3555,-6.379987499999995,3.839215528892887
2025-11-13 06:30:00,6,3,0,-10.934,-5.101,-6.891,5.832999999999999,4.042999999999999,5.832999999999999,4.042999999999999,10-20,-5.05085,-5.402637499999995,3.4402871714861054
2025-11-13 06:45:00,6,3,0,-1.437,-13.903,-7.794600000000001,-12.466000000000001,-6.357600000000001,12.466000000000001,6.357600000000001,<2,-9.23315,-7.026774999999995,3.2924411942358076
2025-11-13 07:00:00,7,3,0,-5.099,-5.29525,-2.1176500000000003,-0.19625000000000004,2.98135,0.19625000000000004,2.98135,5-10,-3.1247000000000007,-6.941049999999995,3.418068390919186
2025-11-13 07:15:00,7,3,0,0.947,-2.769,3.9544000000000006,-3.716,3.0074000000000005,3.716,3.0074000000000005,<2,-5.4836,-5.723074999999995,2.554826404572402
2025-11-13 07:30:00,7,3,0,-0.267,6.702,8.4916,6.969,8.7586,6.969,8.7586,<2,-1.0201,-4.715387499999995,3.5206895575476276
2025-11-13 07:45:00,7,3,0,-7.041,-2.27975,-2.1229500000000003,4.76125,4.91805,4.76125,4.91805,5-10,1.5116,-2.029199999999996,2.982646870370691
2025-11-13 08:00:00,8,3,0,-1.207,0.67025,1.07505,1.87725,2.28205,1.87725,2.28205,<2,-7.682300000000001,-3.1685999999999956,4.173449292052387
2025-11-13 08:15:00,8,3,0,-4.327,-2.7245,-10.146500000000001,1.6025,-5.8195000000000014,1.6025,5.8195000000000014,2-5,-0.4637500000000001,-1.9136374999999957,3.996260835534099
2025-11-13 08:30:00,8,3,0,-10.514,0.82275,-7.8092500000000005,11.336749999999999,2.704749999999999,11.336749999999999,2.704749999999999,10-20,-5.0139000000000005,-2.9120874999999957,4.1926885046817866
2025-11-13 08:45:00,8,3,0,-7.098,-4.58525,-12.605450000000001,2.5127499999999996,-5.507450000000001,2.5127499999999996,5.507450000000001,5-10,-9.433300000000001,-5.648312499999996,3.904928640486531
2025-11-13 09:00:00,9,3,0,-9.475,3.23625,-4.88555,12.71125,4.589449999999999,12.71125,4.589449999999999,5-10,-8.71705,-5.9069999999999965,4.113302439038543
2025-11-13 09:15:00,9,3,0,-13.395,-10.7885,-10.3025,2.6064999999999987,3.0924999999999994,2.6064999999999987,3.0924999999999994,10-20,-6.553100000000001,-7.4293374999999955,2.022885699265471
2025-11-13 09:30:00,9,3,0,-5.779,-9.77975,-11.68495,-4.00075,-5.905950000000001,4.00075,5.905950000000001,5-10,-13.5962,-9.574912499999996,2.9472069326669854
