Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-12-12;81;20:00 - 20:15;1,650.5;1,125.7;47.3;70.7;-23.4;141.91;118.0
2025-12-12;82;20:15 - 20:30;575.3;1,793.2;11.6;61.9;-50.3;131.43;73.5
2025-12-12;83;20:30 - 20:45;729.0;718.4;18.2;78.0;-59.8;128.14;96.2
2025-12-12;84;20:45 - 21:00;988.1;1,139.4;25.4;51.7;-26.3;108.61;77.1
2025-12-12;85;21:00 - 21:15;812.7;328.4;22.1;23.0;-0.9;128.66;45.1
2025-12-12;86;21:15 - 21:30;904.7;253.3;21.5;79.7;-58.2;122.71;101.2
2025-12-12;87;21:30 - 21:45;577.9;1,073.6;22.3;62.1;-39.8;108.28;84.4
2025-12-12;88;21:45 - 22:00;1,960.9;3,074.1;27.8;61.7;-33.9;99.31;89.5
2025-12-12;89;22:00 - 22:15;1,466.3;903.2;34.8;85.0;-50.2;116.96;119.8
2025-12-12;90;22:15 - 22:30;460.5;642.0;30.8;61.0;-30.2;115.53;91.8
2025-12-12;91;22:30 - 22:45;1,156.6;610.2;32.4;51.5;-19.1;106.94;83.9
2025-12-12;92;22:45 - 23:00;2,338.0;998.0;40.7;58.0;-17.3;92.98;98.7
2025-12-12;93;23:00 - 23:15;1,091.1;678.4;60.9;45.7;15.2;107.46;106.6
2025-12-12;94;23:15 - 23:30;808.3;760.1;57.7;40.2;17.5;103.32;97.9
2025-12-12;95;23:30 - 23:45;2,440.8;656.3;43.7;45.0;-1.3;92.58;88.7
2025-12-12;96;23:45 - 00:00;2,814.2;905.8;37.2;53.4;-16.2;87.67;90.6
2025-12-13;1;00:00 - 00:15;116.3;62.0;17.6;2.0;15.6;112.96;19.6
2025-12-13;2;00:15 - 00:30;72.5;68.0;10.6;11.3;-0.7;107.68;21.9
2025-12-13;3;00:30 - 00:45;64.3;81.0;5.5;12.0;-6.5;105.1;17.5
2025-12-13;4;00:45 - 01:00;78.1;120.9;1.8;21.4;-19.6;97.23;23.2
2025-12-13;5;01:00 - 01:15;114.2;107.9;26.2;9.5;16.7;103.04;35.7
2025-12-13;6;01:15 - 01:30;76.3;126.3;4.0;9.0;-5.0;102.12;13.0
2025-12-13;7;01:30 - 01:45;81.7;116.5;4.6;8.1;-3.5;96.93;12.7
2025-12-13;8;01:45 - 02:00;94.7;98.5;4.6;18.4;-13.8;91.23;23.0
2025-12-13;9;02:00 - 02:15;170.5;121.1;18.1;8.7;9.4;96.22;26.8
2025-12-13;10;02:15 - 02:30;130.4;87.1;7.9;21.7;-13.8;93.28;29.6
2025-12-13;11;02:30 - 02:45;177.4;118.9;8.4;26.7;-18.3;92.74;35.1
2025-12-13;12;02:45 - 03:00;193.0;199.1;9.0;25.5;-16.5;90.2;34.5
2025-12-13;13;03:00 - 03:15;136.1;144.8;6.8;14.6;-7.8;92.38;21.4
2025-12-13;14;03:15 - 03:30;168.8;124.3;11.3;15.3;-4.0;88.76;26.6
2025-12-13;15;03:30 - 03:45;152.2;152.4;9.7;7.8;1.9;89.58;17.5
2025-12-13;16;03:45 - 04:00;96.2;145.1;3.3;13.3;-10.0;86.05;16.6
2025-12-13;17;04:00 - 04:15;62.4;150.8;12.8;11.2;1.6;88.97;24.0
2025-12-13;18;04:15 - 04:30;112.3;90.8;21.7;10.0;11.7;85.22;31.7
2025-12-13;19;04:30 - 04:45;114.5;149.2;23.4;8.6;14.8;83.88;32.0
2025-12-13;20;04:45 - 05:00;163.9;105.0;22.8;13.0;9.8;86.58;35.8
2025-12-13;21;05:00 - 05:15;202.7;353.0;30.7;20.0;10.7;86.47;50.7
2025-12-13;22;05:15 - 05:30;147.2;260.5;16.8;14.3;2.5;89.55;31.1
2025-12-13;23;05:30 - 05:45;327.2;250.8;10.4;8.7;1.7;90.6;19.1
2025-12-13;24;05:45 - 06:00;746.6;416.3;44.6;44.9;-0.3;92.72;89.5
2025-12-13;25;06:00 - 06:15;223.0;281.2;34.5;31.4;3.1;91.93;65.9
2025-12-13;26;06:15 - 06:30;130.7;310.1;12.0;10.5;1.5;91.94;22.5
2025-12-13;27;06:30 - 06:45;497.1;496.3;49.2;44.4;4.8;97.89;93.6
2025-12-13;28;06:45 - 07:00;984.9;618.6;38.0;38.3;-0.3;100.7;76.3
2025-12-13;29;07:00 - 07:15;487.8;1,284.5;46.1;27.5;18.6;93.92;73.6
2025-12-13;30;07:15 - 07:30;388.5;381.8;24.0;19.8;4.2;93.35;43.8
2025-12-13;31;07:30 - 07:45;939.2;1,586.8;51.0;34.1;16.9;104.86;85.1
